"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"Région"	"Non rachetable"	"Montant subséquent"	"Montant initial"	"Intérêt"	"Instrument financier"	"Fréquence"	"Échéance"	"Dividende"	"Date de dividende"	"Bourse"	"RM (%)"	"Rend. éché. - Marché (%)"
"FORT CHICAGO ENERGY LPU-A"	"FCE.UN"	"267478"	"Fiducies de redevances"	"3308002"	"10,140"	"10,150"	"10,150"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,083"	"2010/01/27"	"TSE"	"9,85"	""
"FORTE RES INC *"	""	"268203"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"FORTIS INC"	"FTS"	"268281"	"Actions ordinaires"	"315"	"28,410"	"28,510"	"28,500"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,280"	"2010/02/03"	"TSE"	"3,93"	""
"FORTIS INC CM RD 1ST PF-C"	"FTS.PR.C"	"268355"	"Actions privilégiées rachetables"	"310"	"26,500"	"26,660"	"26,510"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,341"	"2010/02/03"	"TSE"	"5,14"	""
"FORTIS INC CM RD 1ST PF-F"	"FTS.PR.F"	"268402"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"22,110"	"22,240"	"22,240"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,306"	"2010/02/03"	"TSE"	"5,51"	""
"FORTIS INC CM RD 1ST PF-G"	"FTS.PR.G"	"268372"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"26,210"	"26,360"	"26,210"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,328"	"2010/02/03"	"TSE"	"5,01"	""
"FORTIS INC CM RD 1ST PF-H"	"FTS.PR.H"	"268371"	"Actions privilégiées"	"310"	"25,000"	"25,000"	"25,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,000"	""	"TSE"	"0,00"	""
"FORTIS NL,UTRECHT ADR"	"FORSY"	"268277"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"3,650"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"0,927"	"2008/04/29"	"NAS"	"50,78"	""
"FORTUNE BRANDS INC"	"FO"	"268289"	"Actions ordinaires"	"315"	"43,320"	"43,370"	"43,310"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,190"	"2009/11/02"	"NYS"	"1,75"	""
"FORTUNE MINERALS LTD"	"FT"	"268309"	"Actions ordinaires"	"330"	"0,820"	"0,860"	"0,860"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"FORZANI GROUP LTD -A"	"FGL"	"268350"	"Actions ordinaires"	"330"	"15,050"	"15,150"	"15,120"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,075"	"2010/01/14"	"TSE"	"1,98"	""
"FOSSIL INC"	"FOSL"	"268475"	"Actions ordinaires"	"315"	"33,840"	"33,850"	"33,850"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"FOSTER WHEELER LTD *"	"FWLT"	"268513"	"Actions ordinaires"	"330"	"22,390"	"22,400"	"22,400"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"FOUNDRY NETWORKS INC *"	"FDRY"	"268627"	"Actions ordinaires"	"330"	"16,670"	"16,690"	"16,660"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"FOUR SEASONS HOTELS LVS *"	"FSH"	"268570"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"0,055"	"2006/12/27"	"TSE"	"n/d"	""
"FOX GLEN GOLF CO-OP PFD-A"	""	"268693"	"Actions privilégiées"	"3108011"	"1,000"	"1,000"	"1,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"FOX GLEN GOLF COURSE INC"	""	"268690"	"Actions ordinaires"	"3308011"	"1,000"	"1,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"FOXMEYER CANADA INC *"	""	"268773"	"Actions ordinaires"	"330"	"4,600"	"4,600"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"FPI LIMITED *"	"FPL"	"256021"	"Actions ordinaires"	"330"	"16,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,050"	"2005/03/10"	"TSE"	"0,00"	""
"FPIC INS GROUP INC"	"FPIC"	"256076"	"Actions ordinaires"	"330"	"38,460"	"38,580"	"38,500"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"FPL GROUP INC"	"FPL"	"256020"	"Actions ordinaires"	"315"	"47,750"	"47,800"	"47,750"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,473"	"2009/11/24"	"NYS"	"3,96"	""
"FRANCE BTAN EU$ 3% 12JL08"	""	"Y17032"	"Obligations (autres)"	"2601500"	"160,440"	"160,440"	"0,000"	"CAD"	"FR"	"Non"	"n/d"	"n/d"	"3,000"	"Obligation"	"1"	"2008/07/12"	"0,000"	""	""	"1,87"	"0,000000"
"FRANCE EUR(OAT)3.4%25JL29"	""	"Y23105"	"Obligations (autres)"	"2606000"	"228,160"	"228,160"	"228,160"	"CAD"	"FR"	"Non"	"n/d"	"n/d"	"3,400"	"Obligation"	"1"	"2029/07/25"	"0,000"	""	""	"2,23"	"0,555369"
"FRANCE OAT EU$ 4% 25AV13"	""	"Y23433"	"Obligations (autres)"	"2601500"	"160,150"	"160,150"	"160,150"	"CAD"	"FR"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"1"	"2013/04/25"	"0,000"	""	""	"2,50"	"0,000000"
"FRANCE TELECOM ADR"	"FTE"	"268788"	"Actions ordinaires"	"3308000"	"23,990"	"24,020"	"24,020"	"USD"	"FR"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,853"	"2009/08/25"	"NYS"	"n/d"	""
"FRANCO NEVADA MNG CORP *"	""	"268850"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"1"	""	"0,300"	""	""	"n/d"	""
"FRANK CC MM AM U$/N"	"TML825"	"983161"	"Fonds valeurs du marché monétaire"	"3807000"	"11,420"	"11,420"	"11,420"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FRANKLIN RESOURCES INC"	"BEN"	"268999"	"Actions ordinaires"	"315"	"103,550"	"103,560"	"103,500"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,220"	"2009/12/29"	"NYS"	"0,85"	""
"FRASER PAPERS INC"	"FPS"	"269101"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"FREDDIEMAC(FED HM LN MTG)"	"FRE"	"258677"	"Actions ordinaires"	"315"	"1,140"	"1,150"	"1,150"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,250"	"2008/06/12"	"NYS"	"0,00"	""
"FREEHOLD ROYALTY T/U"	"FRU.UN"	"269580"	"Fiducies de redevances"	"3308001"	"15,700"	"15,750"	"15,730"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,140"	"2010/01/27"	"TSE"	"10,68"	""
"FREEPT MCMOR COP&GLD PR"	"FCX.PR.D"	"269605"	"Actions privilégiées"	"310"	"0,000"	"0,000"	"5,390"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,056"	"2006/07/13"	"NYS"	"0,00"	""
"FREEPT MCMOR COPPER&GLD"	"FCX"	"269622"	"Actions ordinaires"	"315"	"74,600"	"74,620"	"74,600"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,150"	"2010/01/13"	"NYS"	"0,80"	""
"FREESCALE SEMICONDUC-B *"	"FSL.B"	"269706"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NYS"	"n/d"	""
"FRENCH NT EUR$3.75%12JA07"	""	"Y22999"	"Obligations (autres)"	"2601500"	"151,056"	"151,056"	"0,000"	"CAD"	"FR"	"Non"	"n/d"	"n/d"	"3,750"	"Obligation"	"1"	"2007/01/12"	"0,000"	""	""	"2,48"	"0,000000"
"FRENCH TN E$ 4.5% 12JL06A"	""	"Y22998"	"Obligations (autres)"	"2601500"	"144,113"	"144,113"	"0,000"	"CAD"	"FR"	"Non"	"n/d"	"n/d"	"4,500"	"Obligation"	"1"	"2006/07/12"	"0,000"	""	""	"3,12"	"0,000000"
"FRESENIUS MED CARE AG&CO"	"FMS"	"270309"	"Actions ordinaires"	"315"	"51,790"	"51,860"	"51,780"	"USD"	"DE"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,787"	"2009/05/05"	"NYS"	"n/d"	""
"FRESH DEL MONTE PRODUCE"	"FDP"	"270330"	"Actions ordinaires"	"315"	"20,820"	"20,830"	"20,830"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,050"	"2006/11/13"	"ASE"	"0,00"	""
"FRK BONS TRES /S/N"	"TML733"	"997461"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"12"	""	"0,001"	"2009/12/31"	""	"0,10"	""
"FRK CC CROI FL/C S/N"	"TML986"	"983182"	"Fonds d'actions américaines"	"3807250"	"3,220"	"3,220"	"3,220"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FRK CRS CAP FL-A/S/N"	"TML314"	"991986"	"Fonds d'actions américaines"	"3807250"	"9,370"	"9,370"	"9,370"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FRK CRS G/S AME /S/N"	"TML315"	"991465"	"Fonds d'actions américaines"	"3807250"	"2,270"	"2,270"	"2,270"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FRK MCH MON /S/N"	"TML304"	"984856"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"12"	""	"0,002"	"2009/12/31"	""	"0,21"	""
"FRK MDL SNT/BIO /S/N"	"TML317"	"993108"	"Fonds d'actions globales"	"3807630"	"4,060"	"4,060"	"4,060"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FRK US SMDCPRSGW/D/N"	"TML584"	"991501"	"Fonds d'actions américaines"	"3807255"	"2,893"	"2,893"	"2,893"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FRK W/H S&B RSP /D/N"	"TML581"	"984840"	"Fonds d'actions globales"	"3807630"	"3,176"	"3,176"	"3,176"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FRONT ST LONG/SHORT T/U *"	"FLS.UN"	"270859"	"Fonds de couverture fermés"	"3308001"	"9,970"	"10,190"	"9,970"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Autre"	"12"	""	"0,580"	"2007/08/06"	"TSE"	"0,00"	""
"FRONT ST LONG/SHRT II PA*"	"FLH.UN"	"270873"	"Fiducies de redevances"	"3308001"	"9,320"	"9,450"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,050"	"2006/05/29"	"TSE"	"0,00"	""
"FRONT STREET F/T 04-1 LPU"	""	"270845"	"Actions ordinaires"	"3308002"	"31,937"	"31,937"	"31,937"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"FRONT STREET F/T 06-I LPU"	""	"270877"	"Actions ordinaires"	"3308002"	"19,019"	"19,019"	"19,019"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"FRONT STREET F/T 08-I LPU"	""	"271035"	"Actions ordinaires"	"3308002"	"22,351"	"22,351"	"22,351"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"FRONT STREET F/T 09-I LPU"	""	"271062"	"Actions ordinaires"	"3308002"	"27,666"	"27,666"	"27,666"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"FRONT STREET GOLD PERF FD"	""	"270830"	"Fiducies de redevances"	"3308001"	"10,000"	"10,000"	"10,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"FRONTERA COPPER CORP *"	"FCC"	"270820"	"Actions ordinaires"	"330"	"0,740"	"0,750"	"0,740"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"FRONTERA RED 10% 15JN10"	"FCC.NT"	"T64582"	"Obligations corporatives"	"2606000"	"61,290"	"66,000"	"65,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"10,000"	"Obligation"	"2"	"2010/06/15"	"0,000"	""	"TSE"	"15,38"	"151,761853"
"FRONTIER OIL CORP"	"FTO"	"270833"	"Actions ordinaires"	"315"	"13,010"	"13,020"	"13,030"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,060"	"2009/12/28"	"NYS"	"1,84"	""
"FRST CAP CV RD6.25%31DC16"	"FCR.DB.C"	"T42895"	"Obligations (autres)"	"2756000"	"106,000"	"107,000"	"106,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"6,250"	"Obligation"	"1"	"2016/12/31"	"0,000"	""	"TSE"	"5,90"	"5,089442"
"FRT ST P/C-B /SF/N"	"FSC441"	"935691"	"Fonds de placement spéciaux"	"3807950"	"25,118"	"25,118"	"25,118"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FRUIT OF THE LOOM INC-A*"	""	"270968"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"FSC OPP P/CAP-B /N"	"FSC331"	"968038"	"Fonds de placement spéciaux"	"3807950"	"12,059"	"12,059"	"12,059"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FSC RES OPP-B /N"	"FSC321"	"968035"	"Fonds de placements alternatifs"	"3807610"	"4,082"	"4,082"	"4,082"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"1"	""	"1,112"	"2008/10/31"	""	"27,23"	""
"FSC ST ROLL OVER /N"	"FSC200"	"968755"	"Fonds de placements alternatifs"	"3807610"	"11,414"	"11,414"	"11,414"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FSC YLD OPP-B /N"	"FSC301"	"968026"	"Fonds de placement spéciaux"	"3807950"	"7,664"	"7,664"	"7,664"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"4"	""	"0,125"	"2008/10/31"	""	"0,00"	""
"FT CHICAGO E CV7.5%30JN0*"	"FCE.DB.A"	"T48760"	"Débentures convertibles"	"2756000"	"119,000"	"119,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"7,500"	"Obligation"	"2"	"2008/06/30"	"0,000"	""	"TSE"	"6,30"	"0,000000"
"FT DJ INT IND TR99/N"	"FTC211"	"980966"	"Fonds d'actions globales"	"3807170"	"2,665"	"2,665"	"2,665"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FT NA PHAR TR'00-A/N"	"FTC311"	"971466"	"Fonds d'actions globales"	"3807630"	"9,496"	"9,496"	"9,496"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"2"	""	"0,000"	""	""	"0,00"	""
"FT PHARMA TR-97 /N"	"FTC601"	"998395"	"Fonds d'actions globales"	"3807500"	"10,709"	"10,709"	"10,709"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FT TARG 10-97-3 US/N"	"FTC302"	"998219"	"Fonds d'actions américaines"	"3807250"	"9,888"	"9,888"	"9,888"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FT TARGET 10 97-3 /N"	"FTC301"	"998218"	"Fonds d'actions américaines"	"3807250"	"15,480"	"15,480"	"15,480"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"FUEL CELL TECH CORP *"	"FCT"	"271441"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSX"	"n/d"	""
"FUELCELL ENERGY INC"	"FCEL"	"271433"	"Actions ordinaires"	"315"	"3,020"	"3,050"	"3,020"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"FUJI PHOTO FILM-NEW ADR *"	"FUJIY"	"271190"	"Actions ordinaires"	"3308000"	"37,375"	"37,375"	"0,000"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"0,108"	"2006/09/27"	"NAS"	"0,00"	""
"FUJIFILM HLDGS CORP ADR"	"FUJIY"	"271191"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"32,500"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"0,141"	"2009/09/29"	"NAS"	"0,87"	""
"FUJITSU LTD ADR 5 COM"	"FJTSY"	"271621"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"30,700"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"0,000"	"2009/09/25"	"NAS"	"0,00"	""
"FULLER H.B. CO"	"FUL"	"271478"	"Actions ordinaires"	"315"	"21,460"	"21,470"	"21,470"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,068"	"2009/10/13"	"NYS"	"1,27"	""
"FUTURE BEACH CORP CL-A"	"FBC"	"271904"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSX"	"n/d"	""
"FX ENERGY INC"	"FXEN"	"256051"	"Actions ordinaires"	"315"	"3,000"	"3,010"	"3,000"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"G A T X CORP"	"GMT"	"272065"	"Actions ordinaires"	"315"	"26,590"	"26,610"	"26,620"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,280"	"2009/12/11"	"NYS"	"4,21"	""
"G.M.A.C. BMT 5.45% 21MR05"	""	"T56498"	"Obligations (autres)"	"2606000"	"100,010"	"100,010"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,450"	"Obligation"	"2"	"2005/03/21"	"0,000"	""	""	"5,45"	"0,000000"
"GABRIEL RES LTD"	"GBU"	"272174"	"Actions ordinaires"	"330"	"3,980"	"4,030"	"4,020"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"GAIAM INC"	"GAIA"	"272169"	"Actions ordinaires"	"315"	"7,000"	"7,020"	"7,000"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"GALAXY ONLINE INC"	"GLXOF"	"272223"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"GALLEON ENERGY INC CL-A"	"GO"	"272326"	"Actions ordinaires"	"315"	"5,730"	"5,790"	"5,730"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"GALLERY RESOURCES LTD"	"GARQF"	"272228"	"Actions ordinaires"	"330"	"0,000"	"0,001"	"0,000"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"GAMESTOP CORP CL-A"	"GME"	"272888"	"Actions ordinaires"	"315"	"19,930"	"19,960"	"19,930"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NYS"	"n/d"	""
"GAMMON LAKE RESOURCES IN*"	"GAM"	"272843"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"GANDALF TECHNOLOGIES INC"	""	"272860"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"GANNETT CO INC"	"GCI"	"273029"	"Actions ordinaires"	"315"	"16,020"	"16,030"	"16,040"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,040"	"2009/12/09"	"NYS"	"1,00"	""
"GAP INC"	"GPS"	"272834"	"Actions ordinaires"	"315"	"18,980"	"18,990"	"19,000"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,085"	"2010/01/04"	"NYS"	"1,79"	""
"GARDA WORLD SECURITY-A"	"GW"	"273113"	"Actions ordinaires"	"315"	"10,310"	"10,410"	"10,370"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"GARMIN LTD USD.005"	"GRMN"	"273329"	"Actions ordinaires"	"315"	"33,470"	"33,480"	"33,480"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"1"	""	"0,750"	"2009/11/27"	"NAS"	"2,24"	""
"GAS MANAGEMENT INCM T/U"	""	"274361"	"Actions ordinaires"	"330"	"4,700"	"4,700"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,100"	""	""	"8,51"	""
"GASPE ICS 2.5% 28AV12"	""	"Q23534"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,661"	"100,661"	"100,661"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"2,500"	"Obligation"	"2"	"2012/04/28"	"0,000"	""	""	"2,48"	"2,197230"
"GATEWAY 2000 INC *"	""	"275275"	"Actions ordinaires"	"330"	"50,875"	"50,875"	"0,000"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"GATEWAY CASINOS INCM T/*"	"GCI.UN"	"275152"	"Fiducies de redevances"	"3308001"	"25,230"	"25,290"	"25,290"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,087"	"2007/11/09"	"TSE"	"0,00"	""
"GATEWAY INC *"	"GTW"	"275276"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NYS"	"n/d"	""
"GATINEAU ICS 4% 4AV10"	""	"Q23868"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,563"	"100,563"	"100,563"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"2"	"2010/04/04"	"0,000"	""	""	"3,98"	"1,011712"
"GATINEAU ICS 5% 2DC11"	""	"Q24027"	"Obligations municipales & para-gouvernementales"	"2601411"	"105,438"	"105,438"	"105,438"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,000"	"Obligation"	"2"	"2011/12/02"	"0,000"	""	""	"4,74"	"1,992612"
"GATINEAU ICS 4.3% 4AV13"	""	"Q23877"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,725"	"104,725"	"104,725"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,300"	"Obligation"	"2"	"2013/04/04"	"0,000"	""	""	"4,11"	"2,741630"
"GATINEAU ICS 4.1% 30MR12"	""	"Q24056"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,116"	"104,116"	"104,116"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,100"	"Obligation"	"2"	"2012/03/30"	"0,000"	""	""	"3,94"	"2,153145"
"GATINEAU ICS 4.25% 9DC13"	""	"Q25947"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,446"	"104,446"	"104,446"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,250"	"Obligation"	"2"	"2013/12/09"	"0,000"	""	""	"4,07"	"3,023412"
