"Description"	"Symbol"	"Security"	"Subcategory"	"Type"	"Bid"	"Ask"	"Close"	"Cur. Price"	"MY (%)"	"YTM - Market (%)"	"Exclude from Billing"
"ISRAEL I&A C$ 0% 1FB14"	""	"Y28427"	"Discount Bonds (other)"	"2601500"	"80.191"	"80.191"	"80.191"	"CAD"	"n/a"	"5.646283"	"No"
"ISRAEL I&A C$ 0% 1AP13"	""	"Y28728"	"Discount Bonds (other)"	"2601500"	"83.320"	"83.320"	"83.320"	"CAD"	"n/a"	"5.904686"	"No"
"ISRAEL I&A C$ 0% 1JL13"	""	"Y28740"	"Discount Bonds (other)"	"2601500"	"82.134"	"82.134"	"82.134"	"CAD"	"n/a"	"5.905721"	"No"
"ISRAEL I&A C$ 0% 1MR13"	""	"Y28726"	"Discount Bonds (other)"	"2601500"	"82.988"	"82.988"	"82.988"	"CAD"	"n/a"	"6.208378"	"No"
"ISRAEL I&A C$ 0% 1MR14"	""	"Y28770"	"Discount Bonds (other)"	"2601500"	"79.979"	"79.979"	"79.979"	"CAD"	"n/a"	"5.605890"	"No"
"ISRAEL I&A C$ 0% 1OC12"	""	"Y39121"	"Discount Bonds (other)"	"2601500"	"84.879"	"84.879"	"84.879"	"CAD"	"n/a"	"6.302961"	"No"
"ISRAEL I&A C$ 0% 1SP12"	""	"Y28704"	"Discount Bonds (other)"	"2601500"	"84.690"	"84.690"	"84.690"	"CAD"	"n/a"	"6.599918"	"No"
"ITAU UNIBANCO HLDGS S/ADR"	"ITUB"	"355733"	"Common Stock"	"3158000"	"19.610"	"19.620"	"19.670"	"USD"	"0.41"	""	"No"
"ITD GWTH PTF /D/N"	"AIM7711"	"966929"	"Global Equity Funds"	"3807520"	"9.800"	"9.800"	"9.800"	"CAD"	"0.60"	""	"No"
"ITD L/T GW /D/N"	"AIM7911"	"966934"	"Global Equity Funds"	"3807500"	"9.524"	"9.524"	"9.524"	"CAD"	"n/a"	""	"No"
"ITEMUS INC"	"ITMUQ"	"355651"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	""	"No"
"ITERATION ENERGY LTD"	"ITX"	"335633"	"Common Stock"	"330"	"1.240"	"1.250"	"1.240"	"CAD"	"n/a"	""	"No"
"ITS INVESTMENTS LPU"	""	"333590"	"Common Stock"	"3308002"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ITT CORPORATION"	"ITT"	"333569"	"Common Stock"	"315"	"49.190"	"49.200"	"49.180"	"USD"	"1.73"	""	"No"
"IVACO INC $2 CV 2ND PFD-2"	"IVA.PR.F"	"355494"	"Preferred Shares"	"310"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"IVACO INC $2.625 2ND PF-5"	"IVA.PR.I"	"355498"	"Preferred Shares"	"310"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"IVACO INC CL-A SV"	"IVA.A"	"355489"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"IVANHOE ENERGY INC"	"IE"	"355488"	"Common Stock"	"330"	"3.110"	"3.120"	"3.120"	"CAD"	"n/a"	""	"No"
"IVAX CORP *"	"IVX"	"355512"	"Common Stock"	"330"	"25.980"	"26.240"	"0.000"	"USD"	"n/a"	""	"No"
"IXLA LTD NO PAR"	"6097545"	"355923"	"Common Stock"	"330"	"0.020"	"0.020"	"0.020"	"CAD"	"0.00"	""	"No"
"IXORA COMMUNICATION SYS"	""	"355799"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"J CREW GROUP INC"	"JCG"	"356250"	"Common Stock"	"315"	"39.350"	"39.370"	"39.380"	"USD"	"n/a"	""	"No"
"J U M CAP INC *"	"JUM"	"365108"	"Common Stock"	"330"	"0.080"	"0.090"	"0.080"	"CAD"	"n/a"	""	"No"
"J.C PENNEY COMPANY"	"JCP"	"537282"	"Common Stock"	"315"	"25.130"	"25.150"	"25.160"	"USD"	"3.18"	""	"No"
"J.M. SMUCKER CO"	"SJM"	"663926"	"Common Stock"	"315"	"60.330"	"60.350"	"60.370"	"USD"	"2.32"	""	"No"
"JABIL CIRCUIT INC"	"JBL"	"355880"	"Common Stock"	"315"	"15.770"	"15.780"	"15.790"	"USD"	"1.77"	""	"No"
"JACOBS ENGR GROUP"	"JEC"	"355917"	"Common Stock"	"315"	"39.950"	"39.970"	"39.950"	"USD"	"n/a"	""	"No"
"JANNOCK PROPERTIES LTD *"	""	"357578"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"JAPAN EQUITY FUND INC"	"JEQ"	"357600"	"Common Stock"	"3308015"	"5.510"	"5.530"	"5.520"	"USD"	"0.69"	""	"No"
"JAPAN SMALLER CAP FND INC"	"JOF"	"357706"	"Common Stock"	"3308015"	"7.840"	"7.850"	"7.840"	"USD"	"0.68"	""	"No"
"JARDEN CORP"	"JAH"	"357805"	"Common Stock"	"315"	"29.910"	"29.950"	"29.900"	"USD"	"1.00"	""	"No"
"JARDINE MATHESON UNSP ADR"	"JMHLY"	"357815"	"Common Stock"	"3308000"	"0.000"	"0.000"	"30.250"	"USD"	"1.65"	""	"No"
"JAZZ AIR CV 9.5% 31DC14"	"JAZ.DB"	"T78747"	"Bonds (other)"	"2756000"	"104.250"	"104.440"	"104.440"	"CAD"	"9.10"	"8.237187"	"No"
"JAZZ AIR INCOME FUND T/U"	"JAZ.UN"	"359007"	"Trust Units"	"3308001"	"4.280"	"4.290"	"4.290"	"CAD"	"13.99"	""	"No"
"JDS UNIPHASE CDA EXCH"	"JDU"	"356269"	"Common Stock"	"315"	"8.560"	"8.750"	"8.620"	"CAD"	"n/a"	""	"No"
"JDS UNIPHASE CORP"	"JDSU"	"356270"	"Common Stock"	"315"	"8.100"	"8.110"	"8.100"	"USD"	"n/a"	""	"No"
"JEAN COUTU GRP-A SV"	"PJC.A"	"359131"	"Common Stock"	"315"	"9.640"	"9.740"	"9.700"	"CAD"	"1.86"	""	"No"
"JEAN/C CB U$ 8.5% 1AG14"	""	"V18803"	"Corporate Bonds"	"2606000"	"107.943"	"107.943"	"107.943"	"USD"	"7.87"	"6.445316"	"No"
"JEFFERSON PILOT CORP *"	"JP"	"359539"	"Common Stock"	"315"	"55.910"	"55.970"	"0.000"	"USD"	"2.99"	""	"No"
"JEREZ ENERGY INTL INC"	"JRZIF"	"360468"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"JET GOLD CORP"	"JAU"	"360892"	"Common Stock"	"330"	"0.055"	"0.060"	"0.060"	"CAD"	"n/a"	""	"No"
"JETBLUE AIRWAYS CORP"	"JBLU"	"360902"	"Common Stock"	"315"	"5.610"	"5.620"	"5.620"	"USD"	"n/a"	""	"No"
"JHN DYN REDG DF3/D/N"	"JHN423"	"963818"	"Linked Notes Funds"	"3807245"	"87.168"	"87.168"	"87.168"	"CAD"	"n/a"	""	"No"
"JIANGSU EXPWY CO-H SP/ADR"	"JEXYY"	"356082"	"Common Stock"	"3308000"	"0.000"	"0.000"	"18.800"	"USD"	"n/a"	""	"No"
"JOHNSON & JOHNSON"	"JNJ"	"362483"	"Common Stock"	"315"	"63.230"	"63.240"	"63.220"	"USD"	"3.10"	""	"No"
"JOHNSON CONTROLS INC"	"JCI"	"362301"	"Common Stock"	"315"	"30.420"	"30.440"	"30.420"	"USD"	"1.71"	""	"No"
"JOLIETTE BEO 1.5% 2SP11"	""	"Q36469"	"Municipal & Para-governmental Bonds"	"2601411"	"99.403"	"99.403"	"99.403"	"CAD"	"1.51"	"1.880290"	"No"
"JOLIETTE BEO 4.1% 27NV10"	""	"Q36460"	"Municipal & Para-governmental Bonds"	"2601411"	"102.221"	"102.221"	"102.221"	"CAD"	"4.01"	"1.419410"	"No"
"JOLIETTE BEO 3.15% 2SP14"	""	"Q36472"	"Municipal & Para-governmental Bonds"	"2601411"	"99.436"	"99.436"	"99.436"	"CAD"	"3.17"	"3.282632"	"No"
"JONES APPAREL GROUP INC"	"JNY"	"363750"	"Common Stock"	"315"	"15.260"	"15.270"	"15.270"	"USD"	"1.31"	""	"No"
"JOURDAN RESOURCES INC"	"JRN"	"364280"	"Common Stock"	"330"	"0.070"	"0.080"	"0.070"	"CAD"	"n/a"	""	"No"
"JOV LF PRF EQ-A /N"	"JOV110"	"926550"	"Dividend Funds"	"3807725"	"11.582"	"11.582"	"11.582"	"CAD"	"2.52"	""	"No"
"JOY GLOBAL INC"	"JOYG"	"364890"	"Common Stock"	"315"	"48.670"	"48.680"	"48.680"	"USD"	"1.44"	""	"No"
"JPMORGAN CHASE & CO"	"JPM"	"453858"	"Common Stock"	"315"	"39.170"	"39.180"	"39.210"	"USD"	"0.51"	""	"No"
"JSC MMC NORILSK NICK-ADR"	"NILSY"	"589528"	"Common Stock"	"3308000"	"0.000"	"0.000"	"15.700"	"USD"	"n/a"	""	"No"
"JULIUS BAER HLDG UNSP/AD*"	"JBHGY"	"358065"	"Common Stock"	"3308000"	"0.000"	"0.000"	"10.400"	"USD"	"n/a"	""	"No"
"JUNEX INC"	"JNX"	"365405"	"Common Stock"	"330"	"1.900"	"1.960"	"1.900"	"CAD"	"n/a"	""	"No"
"JUNIPER NETWORKS INC"	"JNPR"	"365438"	"Common Stock"	"315"	"25.380"	"25.390"	"25.370"	"USD"	"n/a"	""	"No"
"JUST ENERGY CV 6% 30SP14"	"JEX.DB"	"T01636"	"Convertible Debentures"	"2756000"	"99.500"	"99.750"	"99.500"	"CAD"	"6.03"	"6.121932"	"No"
"JUST ENERGY INCM FND T/U"	"JE.UN"	"365741"	"Trust Units"	"3308001"	"13.850"	"13.940"	"13.940"	"CAD"	"8.89"	""	"No"
"K MART CORP *"	""	"365780"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	""	"No"
"K-BRO LINEN INCM FD T/U"	"KBL.UN"	"365808"	"Trust Units"	"3308001"	"14.360"	"14.570"	"14.350"	"CAD"	"7.67"	""	"No"
"K.T. RESOURCES (1981) LTD"	""	"377570"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"KALAHARI RESOURCES INC."	"KLA"	"366862"	"Common Stock"	"330"	"0.065"	"0.070"	"0.070"	"CAD"	"n/a"	""	"No"
"KANE INVESTMENT CORP"	""	"367229"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"KANGAROO MEDIA INC"	"KTV"	"367248"	"Common Stock"	"330"	"0.415"	"0.420"	"0.415"	"CAD"	"n/a"	""	"No"
"KAO CORPORATION SPONS ADR"	"KCRPY"	"367604"	"Common Stock"	"3308000"	"0.000"	"0.000"	"24.070"	"USD"	"26.76"	""	"No"
"KAOCLAY RESOURCES INC"	""	"367607"	"Common Stock"	"3308011"	"7.250"	"7.250"	"7.250"	"CAD"	"n/a"	""	"No"
"KASTEN CHASE APPLIED RES"	"KCA"	"367799"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	""	"No"
"KASTEN CHASE APPLIED-NEW"	""	"367822"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"KATANGA LG33 14% 30NV13"	"KAT.NT"	"V23469"	"Corporate Bonds"	"2606000"	"90.050"	"94.850"	"90.050"	"CAD"	"15.55"	"17.598600"	"No"
"KAWASAKI HEAVY IND-SP ADR"	"KWHIY"	"367938"	"Common Stock"	"3308000"	"0.000"	"0.000"	"14.300"	"USD"	"n/a"	""	"No"
"KB FINANCIAL GRP INC ADR"	"KB"	"376757"	"Common Stock"	"3158000"	"45.600"	"45.670"	"45.680"	"USD"	"n/a"	""	"No"
"KCP INCOME FUND T/*"	"KCP.UN"	"365825"	"Trust Units"	"3308001"	"10.020"	"10.050"	"10.030"	"CAD"	"0.00"	""	"No"
"KELLOGG CO"	"K"	"368233"	"Common Stock"	"315"	"54.170"	"54.190"	"54.170"	"USD"	"2.77"	""	"No"
"KELSO TECHNOLOGIES INC"	"KLS"	"368838"	"Common Stock"	"330"	"0.020"	"0.025"	"0.020"	"CAD"	"n/a"	""	"No"
"KEMET CORP"	"KEM"	"368895"	"Common Stock"	"315"	"1.530"	"1.550"	"1.540"	"USD"	"n/a"	""	"No"
"KERECO ENERGY LTD *"	"KCO"	"371861"	"Common Stock"	"330"	"4.710"	"4.730"	"4.720"	"CAD"	"n/a"	""	"No"
"KETCH RESOURCES T/U *"	"KER.UN"	"372200"	"Trust Units"	"3308001"	"11.010"	"11.080"	"11.010"	"CAD"	"0.00"	""	"No"
"KEYCORP"	"KEY"	"372881"	"Common Stock"	"315"	"7.050"	"7.060"	"7.060"	"USD"	"0.57"	""	"No"
"KEYERA RD CV 6.75%30JN1*"	""	"V23945"	"Bonds (other)"	"2756000"	"111.110"	"130.750"	"130.000"	"CAD"	"5.19"	"0.000000"	"No"
"KEYERA RD CV 6.75%30JN11"	"KEY.DB"	"V23946"	"Convertible Debentures"	"2756000"	"209.520"	"217.000"	"209.520"	"CAD"	"3.22"	"15.623324"	"No"
"KEYERA FACILITIES INC T/U"	"KEY.UN"	"372938"	"Trust Units"	"3308001"	"24.860"	"25.000"	"24.890"	"CAD"	"7.23"	""	"No"
"KEYERA RD CV 8.25% 31DC13"	"KEY.DB.A"	"V23961"	"Convertible Debentures"	"2756000"	"130.020"	"131.330"	"130.270"	"CAD"	"6.33"	"0.469150"	"No"
"KEYSTONE NORTH AMER-IPS *"	"KNA.UN"	"373212"	"Trust Units"	"330"	"6.500"	"6.680"	"6.500"	"CAD"	"15.38"	""	"No"
"KEYSTONE NORTH AMER-IPS *"	"KNA.UN"	"373236"	"Common Stock"	"330"	"5.250"	"5.280"	"5.270"	"CAD"	"14.45"	""	"No"
"KHD HUMBOLDT WEDAG INTL"	"KHDH"	"366399"	"Common Stock"	"315"	"13.450"	"13.460"	"13.450"	"USD"	"n/a"	""	"No"
"KIK ACQ CB 6.5% 30NV10"	"KCC.DB.U"	"V25233"	"Convertible Debentures"	"2606000"	"99.800"	"99.800"	"99.800"	"USD"	"6.51"	"6.732985"	"No"
"KIMBERLY CLARK CORP"	"KMB"	"373985"	"Common Stock"	"315"	"60.380"	"60.440"	"60.450"	"USD"	"3.97"	""	"No"
"KIMPEX INTERNATIONAL INC*"	""	"374070"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"KINDER MORGAN ENGY LPU"	"KMP"	"374152"	"Common Stock"	"3158002"	"65.000"	"65.090"	"65.180"	"USD"	"6.44"	""	"No"
"KING PHARMACEUTICALS INC"	"KG"	"374379"	"Common Stock"	"315"	"12.320"	"12.340"	"12.350"	"USD"	"n/a"	""	"No"
"KINGFISHER PLC SP/ADR"	"KGFHY"	"374513"	"Common Stock"	"3308000"	"0.000"	"0.000"	"7.100"	"USD"	"1.79"	""	"No"
"KINGSWAY FINANCIAL SVCS"	"KFS"	"374573"	"Common Stock"	"315"	"1.840"	"1.850"	"1.850"	"CAD"	"4.32"	""	"No"
"KINROSS GOLD CORP"	"K"	"374602"	"Common Stock"	"315"	"18.380"	"18.440"	"18.380"	"CAD"	"0.58"	""	"No"
"KINROSS GOLD CORP-NEW *"	""	"374601"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"KIRKLAND BEO 1.5% 2SP11"	""	"Q36474"	"Municipal & Para-governmental Bonds"	"2601411"	"99.403"	"99.403"	"99.403"	"CAD"	"1.51"	"1.880290"	"No"
"KIRKLAND BEO 3.9% 11AP10"	""	"Q37353"	"Municipal & Para-governmental Bonds"	"2601411"	"100.602"	"100.602"	"100.602"	"CAD"	"3.88"	"0.999371"	"No"
"KIRKLAND BEO 3.55% 16DC12"	""	"Q37376"	"Municipal & Para-governmental Bonds"	"2601411"	"102.647"	"102.647"	"102.647"	"CAD"	"3.46"	"2.592746"	"No"
"KIRKLAND LAKE GOLD INC"	"KGI"	"374726"	"Common Stock"	"330"	"7.450"	"7.520"	"7.490"	"CAD"	"n/a"	""	"No"
"KLM ROYAL DUTCH AIRLINS*"	""	"376244"	"Common Stock"	"330"	"25.250"	"25.250"	"0.000"	"USD"	"3.25"	""	"No"
"KLM RYL DUTCH AIRLINE"	"KLMR"	"376245"	"Common Stock"	"330"	"0.000"	"0.000"	"13.500"	"USD"	"6.79"	""	"No"
"KOHL CORP"	"KSS"	"376647"	"Common Stock"	"315"	"50.290"	"50.330"	"50.290"	"USD"	"n/a"	""	"No"
"KOMATSU LTD SPND ADR"	"KMTUY"	"376311"	"Common Stock"	"3308000"	"0.000"	"0.000"	"84.880"	"USD"	"0.86"	""	"No"
"KOMERCNI BANKA ADR LV-1"	"KMBNY"	"376682"	"Common Stock"	"3308000"	"0.000"	"0.000"	"85.460"	"USD"	"2.74"	""	"No"
"KONEXUS TECHNOLOGIES LTD"	"KXUSF"	"376728"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"KONINKLIJKE AHOLD ADR-NEW"	"AHO"	"376732"	"Common Stock"	"3158000"	"0.000"	"0.000"	"12.840"	"USD"	"n/a"	""	"No"
"KONINKLIJKE AHOLD NV ADR*"	"AHO"	"376729"	"Common Stock"	"3158000"	"12.710"	"12.740"	"12.740"	"USD"	"n/a"	""	"No"
"KONINKLIJKE PHIL ELEC"	"PHG"	"376761"	"Common Stock"	"315"	"30.240"	"30.250"	"30.240"	"USD"	"3.10"	""	"No"
"KONINKLIJKE PHL ELEC NV *"	""	"376756"	"Common Stock"	"315"	"48.889"	"48.889"	"0.000"	"USD"	"n/a"	""	"No"
"KONTRON AG"	"KOTRF"	"376779"	"Common Stock"	"330"	"12.215"	"12.215"	"12.215"	"CAD"	"1.64"	""	"No"
"KOOKABURRA RES LTD - NEW*"	"KOO.H"	"376744"	"Common Stock"	"330"	"0.350"	"0.500"	"0.000"	"CAD"	"n/a"	""	"No"
"KOOKMIN BANK SPONS ADR *"	"KB"	"376753"	"Common Stock"	"3308000"	"49.400"	"49.800"	"49.500"	"USD"	"n/a"	""	"No"
"KOPIN CORP"	"KOPN"	"376965"	"Common Stock"	"315"	"4.510"	"4.520"	"4.520"	"USD"	"n/a"	""	"No"
"KOREA ELECTRIC POWER ADR"	"KEP"	"376971"	"Common Stock"	"3158000"	"16.660"	"16.680"	"16.690"	"USD"	"n/a"	""	"No"
"KRAFT FOODS INC CL-A"	"KFT"	"377331"	"Common Stock"	"315"	"27.660"	"27.680"	"27.690"	"USD"	"4.19"	""	"No"
"KRIA RESOURCES LTD"	"KIA"	"377367"	"Common Stock"	"330"	"0.210"	"0.220"	"0.220"	"CAD"	"n/a"	""	"No"
"KRISPY KREME DOUGHNUTS"	"KKD"	"377351"	"Common Stock"	"315"	"2.650"	"2.660"	"2.650"	"USD"	"n/a"	""	"No"
"KROGER CO"	"KR"	"377507"	"Common Stock"	"315"	"21.800"	"21.810"	"21.820"	"USD"	"1.74"	""	"No"
"KUBOTA LTD - ADR"	"KUB"	"377600"	"Common Stock"	"3308000"	"48.260"	"48.470"	"48.260"	"USD"	"1.66"	""	"No"
"KUMA RESOURCES LTD *"	""	"377625"	"Common Stock"	"330"	"0.230"	"0.240"	"0.230"	"CAD"	"n/a"	""	"No"
"KYOCERA CORP-ADR"	"KYO"	"377640"	"Common Stock"	"3308000"	"88.910"	"89.220"	"89.250"	"USD"	"1.52"	""	"No"
"KYRGOIL HOLDING CORP *"	"KGO"	"366713"	"Common Stock"	"330"	"0.175"	"0.180"	"0.180"	"CAD"	"n/a"	""	"No"
"L OREAL CO -ADR-"	"LRLCY"	"377748"	"Common Stock"	"3308000"	"0.000"	"0.000"	"21.710"	"USD"	"n/a"	""	"No"
"L-1 IDENTITY SOLUTIONS IN"	"ID"	"378308"	"Common Stock"	"315"	"7.690"	"7.700"	"7.700"	"USD"	"n/a"	""	"No"
"LA FOSSE PLATINUM GRP INC"	""	"378270"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"LA MALBAIE BEO 4.25 8SP15"	""	"Q40933"	"Municipal & Para-governmental Bonds"	"2601411"	"103.286"	"103.286"	"103.286"	"CAD"	"4.11"	"3.597886"	"No"
"LA MALBAIE BEO 4.6% 3JL12"	""	"Q40818"	"Municipal & Para-governmental Bonds"	"2601411"	"105.387"	"105.387"	"105.387"	"CAD"	"4.36"	"2.315213"	"No"
"LA PRAIRIE BEO 4.25%2OC12"	""	"Q41589"	"Municipal & Para-governmental Bonds"	"2601411"	"104.600"	"104.600"	"104.600"	"CAD"	"4.06"	"2.467094"	"No"
"LA ROCK MINING CORP *"	"LAR"	"378291"	"Common Stock"	"330"	"0.000"	"0.000"	"0.010"	"CAD"	"n/a"	""	"No"
"LA SOC MINIERE LOUVEM"	"LOV"	"378289"	"Common Stock"	"330"	"0.360"	"0.460"	"0.360"	"CAD"	"n/a"	""	"No"
"LA-Z-BOY INCORPORATED"	"LZB"	"390450"	"Common Stock"	"315"	"11.200"	"11.220"	"11.220"	"USD"	"0.71"	""	"No"
"LAB INTERNATIONAL INC *"	"LAB"	"378027"	"Common Stock"	"330"	"1.030"	"1.070"	"1.050"	"CAD"	"n/a"	""	"No"
"LABOPHARM INC"	"DDS"	"378311"	"Common Stock"	"330"	"2.470"	"2.490"	"2.490"	"CAD"	"n/a"	""	"No"
"LABORATORY CP AM HLDG"	"LH"	"378173"	"Common Stock"	"315"	"73.000"	"73.030"	"73.050"	"USD"	"n/a"	""	"No"
"LABORATORY CP OF AM HLDG*"	""	"378170"	"Common Stock"	"330"	"107.375"	"107.375"	"0.000"	"USD"	"n/a"	""	"No"
"LABRADOR IRON ORE-RYL T/U"	"LIF.UN"	"378025"	"Trust Units"	"3308001"	"47.400"	"47.500"	"47.500"	"CAD"	"4.21"	""	"No"
"LAC-POULIN MN 4.1% 13MR12"	""	"Q26395"	"Municipal & Para-governmental Bonds"	"2601411"	"102.751"	"102.751"	"102.751"	"CAD"	"3.99"	"2.759813"	"No"
"LACHUTE BEO 4.55% 21NV13"	""	"Q41384"	"Municipal & Para-governmental Bonds"	"2601411"	"105.537"	"105.537"	"105.537"	"CAD"	"4.31"	"3.004001"	"No"
"LAFARGE SA SPONS ADR"	"LR"	"379918"	"Common Stock"	"3308000"	"0.000"	"0.000"	"20.100"	"USD"	"n/a"	""	"No"
"LAFAYETTE PAPER MILLS LT*"	""	"379960"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"LAIDLAW INTL INC-NEW *"	"LI"	"380045"	"Common Stock"	"330"	"35.220"	"35.230"	"35.220"	"USD"	"1.93"	""	"No"
"LANDMARK GLOBAL FINL CORP"	"LST.H"	"385320"	"Common Stock"	"330"	"0.005"	"0.010"	"0.005"	"CAD"	"n/a"	""	"No"
"LANESBOR CV RTD7.5%11MR11"	"LRT.DB.F"	"V34057"	"Bonds (other)"	"2756000"	"80.550"	"86.000"	"80.550"	"CAD"	"9.31"	"28.978388"	"No"
"LAS VEGAS SANDS CORP"	"LVS"	"387721"	"Common Stock"	"315"	"16.140"	"16.160"	"16.190"	"USD"	"n/a"	""	"No"
"LASALLE HOTEL PPTY"	"LHO"	"387804"	"Common Stock"	"3158008"	"21.500"	"21.520"	"21.500"	"USD"	"0.19"	""	"No"
"LASIK VISION CORP"	"LSKVF"	"387953"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"LASSONDE INDS INC-A SV"	"LAS.A"	"388008"	"Common Stock"	"330"	"52.160"	"54.640"	"52.990"	"CAD"	"2.04"	""	"No"
"LATEEGRA GOLD CORP *"	"LRG"	"388022"	"Common Stock"	"330"	"0.020"	"0.025"	"0.020"	"CAD"	"n/a"	""	"No"
"LATEEGRA RESOURCES CORP *"	"LEG"	"388007"	"Common Stock"	"330"	"0.025"	"0.030"	"0.030"	"CAD"	"n/a"	""	"No"
"LAUDER ESTEE CO LTD CL-A"	"EL"	"388141"	"Common Stock"	"315"	"53.170"	"53.200"	"53.170"	"USD"	"1.03"	""	"No"
"LAURENTIAN BANK OF CANADA"	"LB"	"388548"	"Common Stock"	"330"	"39.750"	"39.880"	"39.880"	"CAD"	"3.61"	""	"No"
"LAURENTIAN BK CDA-A S10PF"	"LB.PR.E"	"388526"	"Fixed Rate Perpetual Preferred Shares"	"310"	"22.260"	"22.490"	"22.260"	"CAD"	"5.90"	""	"No"
"LAURENTIAN BK-A-PFD-SER 9"	"LB.PR.D"	"388529"	"Fixed Rate Perpetual Preferred Shares"	"310"	"24.780"	"24.940"	"24.800"	"CAD"	"6.05"	""	"No"
"LAURENTIAN CAPITAL CORP *"	""	"388552"	"Common Stock"	"330"	"14.125"	"14.125"	"14.125"	"USD"	"n/a"	""	"No"
"LAVAL 8.6% 3SP13"	""	"Q42607"	"Municipal & Para-governmental Bonds"	"2601411"	"119.275"	"119.275"	"119.275"	"CAD"	"7.21"	"2.922105"	"No"
"LAVAL BEO 5% 11MR19"	""	"Q43195"	"Municipal & Para-governmental Bonds"	"2601411"	"103.315"	"103.315"	"103.315"	"CAD"	"4.84"	"4.551270"	"No"
"LAVAL BEO 1.5% 8JL11"	""	"Q43197"	"Municipal & Para-governmental Bonds"	"2601411"	"99.543"	"99.543"	"99.543"	"CAD"	"1.51"	"1.819917"	"No"
"LAVAL BEO 2.2% 11MR11"	""	"Q43191"	"Municipal & Para-governmental Bonds"	"2601411"	"100.556"	"100.556"	"100.556"	"CAD"	"2.19"	"1.697859"	"No"
"LAVAL BEO 2.3% 4NV12"	""	"Q42975"	"Municipal & Para-governmental Bonds"	"2601411"	"99.417"	"99.417"	"99.417"	"CAD"	"2.31"	"2.518282"	"No"
"LAVAL BEO 2.5% 8JL12"	""	"Q43198"	"Municipal & Para-governmental Bonds"	"2601411"	"100.434"	"100.434"	"100.434"	"CAD"	"2.49"	"2.316721"	"No"
"LAVAL BEO 4.1% 15SP15"	""	"Q42883"	"Municipal & Para-governmental Bonds"	"2601411"	"102.508"	"102.508"	"102.508"	"CAD"	"4.00"	"3.603537"	"No"
"LAVAL BEO 4.2% 27JN10"	""	"Q42796"	"Municipal & Para-governmental Bonds"	"2601411"	"101.356"	"101.356"	"101.356"	"CAD"	"4.14"	"0.957769"	"No"
"LAVAL BEO 1.25% 8JL10"	""	"Q43196"	"Municipal & Para-governmental Bonds"	"2601411"	"100.159"	"100.159"	"100.159"	"CAD"	"1.25"	"0.897084"	"No"
"LAVAL BEO 3.65% 11MY10"	""	"Q42868"	"Municipal & Para-governmental Bonds"	"2601411"	"100.787"	"100.787"	"100.787"	"CAD"	"3.62"	"0.947696"	"No"
"LAVAL BEO 4% 16MY10"	""	"Q40519"	"Municipal & Para-governmental Bonds"	"2601411"	"100.929"	"100.929"	"100.929"	"CAD"	"3.96"	"0.954046"	"No"
"LAVAL BEO 4.35% 4NV19"	""	"Q42978"	"Municipal & Para-governmental Bonds"	"2601411"	"97.530"	"97.530"	"97.530"	"CAD"	"4.46"	"4.666814"	"No"
"LAVAL BEO 4.35% 15MR17"	""	"Q42918"	"Municipal & Para-governmental Bonds"	"2601411"	"101.856"	"101.856"	"101.856"	"CAD"	"4.27"	"4.047217"	"No"
"LAVAL BEO 4.45% 11MY14"	""	"Q42872"	"Municipal & Para-governmental Bonds"	"2601411"	"105.066"	"105.066"	"105.066"	"CAD"	"4.24"	"3.177180"	"No"
"LAVAL BEO 4.45% 12JL11"	""	"Q43151"	"Municipal & Para-governmental Bonds"	"2601411"	"103.752"	"103.752"	"103.752"	"CAD"	"4.29"	"1.840389"	"No"
