Description	Symbol	Security	Subcategory	Type	Bid	Ask	Close	Cur. Price	yo	Saxo	locomotive	Livre A	coucou	cheval A	CHECKBOX	Subsequent Amount	Region	Non-redeemable	Maturity	Market	Interest	Initial Amount	Frequency	Financial Instrument	Dividend Date	Dividend	MY (%)	YTM - Market (%)	Exclude from Billing
ISHARES FTSE/XIN CHINA 25	FXI	354962	Exchange-Traded Funds: Stocks	315	39.64	39.67	39.69	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/21/2009	0.222	1.12		No
ISHARES IBOXX $ HI YLD BD	HYG	355230	Exchange-Traded Funds: Bonds	315	86.95	87.11	86.9	USD								n/a	US	No		ASE	0	n/a	12	Equity	02/01/2010	0	0		No
ISHARES IBOXX$ INV GR CRP	LQD	354933	Exchange-Traded Funds: Bonds	315	105.42	105.68	105.59	USD								n/a	US	No		ASE	0	n/a	12	Equity	02/01/2010	0.433	4.92		No
ISHARES MSCI AUSTRALIA	EWA	354848	Exchange-Traded Funds: Stocks	315	22.33	22.38	22.42	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/22/2009	0.615	5.49		No
ISHARES MSCI BRAZIL INDEX	EWZ	354883	Exchange-Traded Funds: Stocks	315	67.9	67.91	67.9	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/29/2009	0.111	0.33		No
ISHARES MSCI CANADA IDX	EWC	354840	Exchange-Traded Funds: Stocks	315	25.13	25.17	25.15	USD								n/a	CA	No		ASE	0	n/a	2	Equity	12/22/2009	0.241	1.91		No
ISHARES MSCI EAFE GWT IND	EFG	354860	Exchange-Traded Funds: Stocks	3308007	54.46	54.67	54.67	USD								n/a	ZZ	No		NYS	0	n/a	2	Equity	12/22/2009	0.389	1.42		No
ISHARES MSCI EAFE INDX FD	EFA	354855	Exchange-Traded Funds: Stocks	315	54.53	54.56	54.53	USD								n/a	TW	No		ASE	0	n/a	1	Equity	12/22/2009	0.496	0.91		No
ISHARES MSCI EMG MRK INDX	EEM	354939	Exchange-Traded Funds: Stocks	315	39.89	39.9	39.89	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/29/2009	0.012	0.06		No
ISHARES MSCI EMU INDEX FD	EZU	354885	Exchange-Traded Funds: Stocks	3158015	35.71	36.98	35.81	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/22/2009	0.297	1.66		No
ISHARES MSCI FRANCE INDEX	EWQ	354826	Exchange-Traded Funds: Stocks	3308007	24.85	26.37	24.89	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/22/2009	0.121	0.98		No
ISHARES MSCI GERMANY INDX	EWG	354844	Exchange-Traded Funds: Stocks	315	20.98	21.17	21.08	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/22/2009	0.014	0.13		No
ISHARES MSCI HONGKONG IND	EWH	354846	Exchange-Traded Funds: Stocks	315	15.04	15.06	15.04	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/22/2009	0.208	2.77		No
ISHARES MSCI JAPAN INDEX	EWJ	354845	Exchange-Traded Funds: Stocks	315	10.24	10.25	10.25	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/22/2009	0.088	1.72		No
ISHARES MSCI MEX INV MKT	EWW	354831	Exchange-Traded Funds: Stocks	315	46.9	46.95	46.9	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/22/2009	0.515	2.19		No
ISHARES MSCI PAC EX-JPN	EPP	354909	Exchange-Traded Funds: Stocks	315	40.31	40.39	40.37	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/22/2009	0.802	3.97		No
ISHARES MSCI SGP INDEX FD	EWS	354813	Exchange-Traded Funds: Stocks	3158007	11.17	11.2	11.19	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/22/2009	0.257	4.59		No
ISHARES MSCI TAIWAN INDEX	EWT	354881	Exchange-Traded Funds: Stocks	315	12.41	12.44	12.41	USD								n/a	ZZ	No		NYS	0	n/a	2	Equity	12/22/2009	0.208	3.35		No
ISHARES MSCI UK INDEX	EWU	354842	Exchange-Traded Funds: Stocks	315	15.99	16.06	16.03	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/22/2009	0.185	2.31		No
ISHARES NASDAQ BIO INDX	IBB	354902	Exchange-Traded Funds: Stocks	315	82.71	82.77	82.78	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/24/2008	0	0		No
ISHARES RUSS 1000 GWT IND	IWF	354897	Exchange-Traded Funds: Stocks	315	48.82	48.86	48.85	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/23/2009	0.199	1.63		No
ISHARES RUSS 1000 VAL IND	IWD	354867	Exchange-Traded Funds: Stocks	315	56.95	57.01	56.96	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/23/2009	0.351	2.46		No
ISHARES RUSS 2000 GW INDX	IWO	354892	Exchange-Traded Funds: Stocks	315	66.96	67.05	66.95	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/23/2009	0.142	0.85		No
ISHARES RUSS 2000 VAL IND	IWN	354891	Exchange-Traded Funds: Stocks	315	57.85	57.94	57.88	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/23/2009	0.377	2.6		No
ISHARES RUSSELL 2000 INDX	IWM	354865	Exchange-Traded Funds: Stocks	315	61.77	61.8	61.8	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/23/2009	0.253	1.64		No
ISHARES RUSSELL 3000 INDX	IWV	354857	Exchange-Traded Funds: Stocks	315	64.32	64.4	64.35	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/23/2009	0.346	2.15		No
ISHARES S&P 500 GWTH INDX	IVW	354863	Exchange-Traded Funds: Stocks	315	56.46	56.49	56.46	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/24/2009	0.228	1.61		No
ISHARES S&P 500 INDEX FD	IVV	354856	Exchange-Traded Funds: Stocks	315	110.09	110.12	110.07	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/24/2009	0.598	2.17		No
ISHARES S&P 500 VALUE IND	IVE	354841	Exchange-Traded Funds: Stocks	315	52.7	52.73	52.7	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/24/2009	0.361	2.74		No
ISHARES S&P CONSUMER DSCT	RXI	355236	Common Stock	330	43.48	43.66	43.5	USD								n/a	US	No		NYS	0	n/a	2	Equity	12/21/2009	0.246	1.13		No
ISHARES S&P CONSUMER STPL	KXI	355237	Exchange-Traded Funds: Stocks	330	56.02	56.2	56.01	USD								n/a	ZZ	No		NYS	0	n/a	2	Equity	12/21/2009	0.565	2.02		No
ISHARES S&P EUR 350 INDEX	IEV	354886	Exchange-Traded Funds: Stocks	315	37.74	37.95	37.74	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/21/2009	0.291	1.54		No
ISHARES S&P GLB FIN SEC	IXG	354917	Exchange-Traded Funds: Stocks	315	44.02	44.12	44.03	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/21/2009	0.384	1.75		No
ISHARES S&P GLB HEALTHCR	IXJ	354916	Exchange-Traded Funds: Stocks	315	51.94	52.13	52.09	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/21/2009	0.308	1.18		No
ISHARES S&P GLB INFO TECH	IXN	354915	Exchange-Traded Funds: Stocks	330	54.3	54.44	54.39	USD								n/a	ZZ	No		ASE	0	n/a	2	Equity	12/21/2009	0.14	0.52		No
ISHARES S&P GLOBAL 100	IOO	407823	Exchange-Traded Funds: Stocks	315	58.76	58.81	58.809	USD								n/a	ZZ	No		NYS	0	n/a	2	Equity	12/21/2009	0.558	1.9		No
ISHARES S&P GLOBAL MATRLS	MXI	355240	Exchange-Traded Funds: Stocks	330	59.39	59.58	59.5	USD								n/a	ZZ	No		NYS	0	n/a	2	Equity	12/21/2009	0.217	0.73		No
ISHARES S&P GLOBAL UTLS	JXI	355239	Exchange-Traded Funds: Stocks	330	46.44	46.9	46.56	USD								n/a	ZZ	No		NYS	0	n/a	2	Equity	12/21/2009	0.563	2.42		No
ISHARES S&P GSCI COMM IND	GSG	399705	Commodities	315	30.32	30.36	30.35	USD								n/a	ZZ	No		NYS	0	n/a	0	Futures		0	n/a		No
ISHARES S&P M/CAP 400 IND	IJH	354862	Exchange-Traded Funds: Stocks	315	72.13	72.21	72.11	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/24/2009	0.337	1.87		No
ISHARES S&P MC 400 GW IND	IJK	354888	Common Stock	315	76.79	76.85	76.79	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/24/2009	0.216	1.12		No
ISHARES S&P N/AM NAT RES	IGE	354911	Exchange-Traded Funds: Stocks	315	33.53	33.61	33.63	USD								n/a	US	No		ASE	0	n/a	2	Equity	12/21/2009	0.187	1.11		No
ISHARES S&P N/AM TEC MULT	IGN	354903	Common Stock	315	26.56	26.62	26.58	USD								n/a	US	No		ASE	0	n/a	2	Equity	12/21/2009	0.072	0.54		No
ISHARES S&P SMCAP 600 IND	IJR	354861	Exchange-Traded Funds: Stocks	315	54.37	54.38	54.36	USD								n/a	US	No		ASE	0	n/a	4	Equity	12/24/2009	0.17	1.25		No
ISHARES SILVER TRUST	SLV	355145	Commodities	315	16.81	16.83	16.83	USD								n/a	US	No		ASE	0	n/a	0	Futures		0	n/a		No
ISHR MSCI ALL CTRY ASIA	AAXJ	356157	Common Stock	330	54.1	54.15	54.1	USD								n/a	US	No		NAS	0	n/a	2	Equity	12/22/2009	0	0		No
ISOTECHNIKA INC *	ISA	355407	Common Stock	330	0.15	0.17	0.15	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
ISOTIS INC *	ISOT	356303	Common Stock	330	7.16	7.18	7.16	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
ISRAEL 5 JUB U$4.74%1AG12		Y28725	Discount Bonds (other)	2601500	100	100	100	USD								n/a	ZZ	No	08/01/2012		4.74	n/a	2	Bond		0	4.48	0	No
ISRAEL 7TH DEV U$ 4%1AP17		Y28415	Bonds (other)	2601500	100	100	100	USD								n/a	ZZ	No	04/01/2017		4	n/a	1	Bond		0	4	3.9981	No
ISRAEL 7TH DEV U$ 4%1DC11		Y28104	Bonds (other)	2601500	100	100	100	USD								n/a	ZZ	No	12/01/2011		4	n/a	1	Bond		0	4	3.994295	No
ISRAEL 7TH DEV U$ 4%1DC15		Y28357	Bonds (other)	2601500	100	100	100	USD								n/a	ZZ	No	12/01/2015		4	n/a	1	Bond		0	4	3.998051	No
ISRAEL 7TH DEV U$ 4%1FB11		Y28331	Bonds (other)	2601500	100	100	100	USD								n/a	ZZ	No	02/01/2011		4	n/a	1	Bond		0	4	3.998485	No
ISRAEL 7TH DEV U$ 4%1MR14		Y28296	Bonds (other)	2601500	100	100	100	USD								n/a	ZZ	No	03/01/2014		4	n/a	1	Bond		0	4	3.998158	No
ISRAEL 7TH DEV U$ 4%1OC17		Y28416	Bonds (other)	2601500	100	100	100	USD								n/a	ZZ	No	10/01/2017		4	n/a	1	Bond		0	4	3.997393	No
ISRAEL 7TH DEV U$4%1JUL11		Y28208	Bonds (other)	2601500	100	100	100	USD								n/a	ZZ	No	07/01/2011		4	n/a	1	Bond		0	4	3.985939	No
ISRAEL CHEMS-UNSPON ADR	ISCHY	355702	Common Stock	3308000	0	0	13.5	USD								n/a	ZZ	No		NAS	0	n/a	0	Equity	12/03/2009	0.138	n/a		No
ISRAEL I&A 0 CPN C$ 1AP14		Y28778	Discount Bonds (other)	2601500	79.775	79.775	79.775	CAD								n/a	ZZ	No	04/01/2014		0	n/a	0	Bond		0	n/a	5.553399	No
ISRAEL I&A C$ 0% 1FB14		Y28427	Discount Bonds (other)	2601500	80.191	80.191	80.191	CAD								n/a	ZZ	No	02/01/2014		0	n/a	0	Bond		0	n/a	5.646283	No
ISRAEL I&A C$ 0% 1AP13		Y28728	Discount Bonds (other)	2601500	83.32	83.32	83.32	CAD								n/a	ZZ	No	04/01/2013		0	n/a	0	Bond		0	n/a	5.904686	No
ISRAEL I&A C$ 0% 1JL13		Y28740	Discount Bonds (other)	2601500	82.134	82.134	82.134	CAD								n/a	ZZ	No	07/01/2013		0	n/a	0	Bond		0	n/a	5.905721	No
ISRAEL I&A C$ 0% 1MR13		Y28726	Discount Bonds (other)	2601500	82.988	82.988	82.988	CAD								n/a	ZZ	No	03/01/2013		0	n/a	0	Bond		0	n/a	6.208378	No
ISRAEL I&A C$ 0% 1MR14		Y28770	Discount Bonds (other)	2601500	79.979	79.979	79.979	CAD								n/a	ZZ	No	03/01/2014		0	n/a	0	Bond		0	n/a	5.60589	No
ISRAEL I&A C$ 0% 1OC12		Y39121	Discount Bonds (other)	2601500	84.879	84.879	84.879	CAD								n/a	ZZ	No	10/01/2012		0	n/a	0	Bond		0	n/a	6.302961	No
ISRAEL I&A C$ 0% 1SP12		Y28704	Discount Bonds (other)	2601500	84.69	84.69	84.69	CAD								n/a	ZZ	No	09/01/2012		0	n/a	0	Bond		0	n/a	6.599918	No
ITAU UNIBANCO HLDGS S/ADR	ITUB	355733	Common Stock	3158000	19.61	19.62	19.67	USD								n/a	ZZ	No		NYS	0	n/a	12	Equity	02/01/2010	0.007	0.41		No
ITD GWTH PTF /D/N	AIM7711	966929	Global Equity Funds	3807520	9.8	9.8	9.8	CAD								n/a	ZZ	No			0	n/a	1	Mutual Fund	12/21/2007	0.059	0.6		No
ITD L/T GW /D/N	AIM7911	966934	Global Equity Funds	3807500	9.524	9.524	9.524	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
ITEMUS INC	ITMUQ	355651	Common Stock	330	0	0	0	USD								n/a	CA	No		NAS	0	n/a	0	Equity		0	n/a		No
ITERATION ENERGY LTD	ITX	335633	Common Stock	330	1.24	1.25	1.24	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
ITS INVESTMENTS LPU		333590	Common Stock	3308002	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
ITT CORPORATION	ITT	333569	Common Stock	315	49.19	49.2	49.18	USD								n/a	US	No		NYS	0	n/a	4	Equity	11/10/2009	0.213	1.73		No
IVACO INC $2 CV 2ND PFD-2	IVA.PR.F	355494	Preferred Shares	310	0	0	0	CAD								n/a	CA	No		TSE	0	n/a	4	Equity		0.5	n/a		No
IVACO INC $2.625 2ND PF-5	IVA.PR.I	355498	Preferred Shares	310	0	0	0	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
IVACO INC CL-A SV	IVA.A	355489	Common Stock	330	0	0	0	CAD								n/a	CA	No		TSE	0	n/a	1	Equity		0.1	n/a		No
IVANHOE ENERGY INC	IE	355488	Common Stock	330	3.11	3.12	3.12	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
IVAX CORP *	IVX	355512	Common Stock	330	25.98	26.24	0	USD								n/a	US	No		ASE	0	n/a	0	Equity		0	n/a		No
IXLA LTD NO PAR	6097545	355923	Common Stock	330	0.02	0.02	0.02	CAD								n/a	ZZ	No			0	n/a	1	Equity		0	0		No
IXORA COMMUNICATION SYS		355799	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
J CREW GROUP INC	JCG	356250	Common Stock	315	39.35	39.37	39.38	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
J U M CAP INC *	JUM	365108	Common Stock	330	0.08	0.09	0.08	CAD								n/a	CA	No		T	0	n/a	0	Equity		0	n/a		No
J.C PENNEY COMPANY	JCP	537282	Common Stock	315	25.13	25.15	25.16	USD								n/a	US	No		NYS	0	n/a	4	Equity	01/06/2010	0.2	3.18		No
J.M. SMUCKER CO	SJM	663926	Common Stock	315	60.33	60.35	60.37	USD								n/a	US	No		NYS	0	n/a	4	Equity	11/10/2009	0.35	2.32		No
JABIL CIRCUIT INC	JBL	355880	Common Stock	315	15.77	15.78	15.79	USD								n/a	US	No		NYS	0	n/a	4	Equity	11/12/2009	0.07	1.77		No
JACOBS ENGR GROUP	JEC	355917	Common Stock	315	39.95	39.97	39.95	USD								n/a	US	No		ASE	0	n/a	0	Equity		0	n/a		No
JANNOCK PROPERTIES LTD *		357578	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
JAPAN EQUITY FUND INC	JEQ	357600	Common Stock	3308015	5.51	5.53	5.52	USD								n/a	US	No		NYS	0	n/a	1	Equity	12/18/2009	0.038	0.69		No
JAPAN SMALLER CAP FND INC	JOF	357706	Common Stock	3308015	7.84	7.85	7.84	USD								n/a	US	No		NYS	0	n/a	1	Equity	12/21/2009	0.053	0.68		No
JARDEN CORP	JAH	357805	Common Stock	315	29.91	29.95	29.9	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/30/2009	0.075	1		No
JARDINE MATHESON UNSP ADR	JMHLY	357815	Common Stock	3308000	0	0	30.25	USD								n/a	ZZ	No		NAS	0	n/a	2	Equity	08/25/2009	0.25	1.65		No
JAZZ AIR CV 9.5% 31DC14	JAZ.DB	T78747	Bonds (other)	2756000	104.25	104.44	104.44	CAD								n/a	CA	No	12/31/2014	TSE	9.5	n/a	1	Bond		0	9.1	8.237187	No
JAZZ AIR INCOME FUND T/U	JAZ.UN	359007	Trust Units	3308001	4.28	4.29	4.29	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/27/2010	0.05	13.99		No
JDS UNIPHASE CDA EXCH	JDU	356269	Common Stock	315	8.56	8.75	8.62	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
JDS UNIPHASE CORP	JDSU	356270	Common Stock	315	8.1	8.11	8.1	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
JEAN COUTU GRP-A SV	PJC.A	359131	Common Stock	315	9.64	9.74	9.7	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	01/20/2010	0.045	1.86		No
JEAN/C CB U$ 8.5% 1AG14		V18803	Corporate Bonds	2606000	107.943	107.943	107.943	USD								n/a	CA	No	08/01/2014		8.5	n/a	2	Bond		0	7.87	6.445316	No
JEFFERSON PILOT CORP *	JP	359539	Common Stock	315	55.91	55.97	0	USD								n/a	US	No		NYS	0	n/a	4	Equity	02/15/2006	0.418	2.99		No
JEREZ ENERGY INTL INC	JRZIF	360468	Common Stock	330	0	0	0	CAD								n/a	CA	No		NAS	0	n/a	0	Equity		0	n/a		No
JET GOLD CORP	JAU	360892	Common Stock	330	0.055	0.06	0.06	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
JETBLUE AIRWAYS CORP	JBLU	360902	Common Stock	315	5.61	5.62	5.62	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
JHN DYN REDG DF3/D/N	JHN423	963818	Linked Notes Funds	3807245	87.168	87.168	87.168	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
JIANGSU EXPWY CO-H SP/ADR	JEXYY	356082	Common Stock	3308000	0	0	18.8	USD								n/a	ZZ	No		NAS	0	n/a	0	Equity	05/12/2009	0.789	n/a		No
JOHNSON & JOHNSON	JNJ	362483	Common Stock	315	63.23	63.24	63.22	USD								n/a	US	No		NYS	0	n/a	4	Equity	11/20/2009	0.49	3.1		No
JOHNSON CONTROLS INC	JCI	362301	Common Stock	315	30.42	30.44	30.42	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/09/2009	0.13	1.71		No
JOLIETTE BEO 1.5% 2SP11		Q36469	Municipal & Para-governmental Bonds	2601411	99.403	99.403	99.403	CAD								n/a	CA	No	09/02/2011		1.5	n/a	2	Bond		0	1.51	1.88029	No
JOLIETTE BEO 4.1% 27NV10		Q36460	Municipal & Para-governmental Bonds	2601411	102.221	102.221	102.221	CAD								n/a	CA	No	11/27/2010		4.1	n/a	2	Bond		0	4.01	1.41941	No
JOLIETTE BEO 3.15% 2SP14		Q36472	Municipal & Para-governmental Bonds	2601411	99.436	99.436	99.436	CAD								n/a	CA	No	09/02/2014		3.15	n/a	2	Bond		0	3.17	3.282632	No
JONES APPAREL GROUP INC	JNY	363750	Common Stock	315	15.26	15.27	15.27	USD								n/a	US	No		NYS	0	n/a	4	Equity	11/10/2009	0.05	1.31		No
JOURDAN RESOURCES INC	JRN	364280	Common Stock	330	0.07	0.08	0.07	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
JOV LF PRF EQ-A /N	JOV110	926550	Dividend Funds	3807725	11.582	11.582	11.582	CAD								n/a	CA	No			0	n/a	4	Mutual Fund	09/30/2009	0.073	2.52		No
JOY GLOBAL INC	JOYG	364890	Common Stock	315	48.67	48.68	48.68	USD								n/a	US	No		NAS	0	n/a	4	Equity	12/02/2009	0.175	1.44		No
JPMORGAN CHASE & CO	JPM	453858	Common Stock	315	39.17	39.18	39.21	USD								n/a	US	No		NYS	0	n/a	4	Equity	01/04/2010	0.05	0.51		No
JSC MMC NORILSK NICK-ADR	NILSY	589528	Common Stock	3308000	0	0	15.7	USD								n/a	ZZ	No		NAS	0	n/a	0	Equity	05/30/2008	0.444	n/a		No
JULIUS BAER HLDG UNSP/AD*	JBHGY	358065	Common Stock	3308000	0	0	10.4	USD								n/a	ZZ	No		NAS	0	n/a	0	Equity	04/09/2009	0.087	n/a		No
JUNEX INC	JNX	365405	Common Stock	330	1.9	1.96	1.9	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
JUNIPER NETWORKS INC	JNPR	365438	Common Stock	315	25.38	25.39	25.37	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
JUST ENERGY CV 6% 30SP14	JEX.DB	T01636	Convertible Debentures	2756000	99.5	99.75	99.5	CAD								n/a	CA	No	09/30/2014	TSE	6	n/a	2	Bond		0	6.03	6.121932	No
JUST ENERGY INCM FND T/U	JE.UN	365741	Trust Units	3308001	13.85	13.94	13.94	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/13/2010	0.103	8.89		No
K MART CORP *		365780	Common Stock	330	0	0	0	USD								n/a	US	No			0	n/a	0	Equity		0	n/a		No
K-BRO LINEN INCM FD T/U	KBL.UN	365808	Trust Units	3308001	14.36	14.57	14.35	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/27/2010	0.092	7.67		No
K.T. RESOURCES (1981) LTD		377570	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
KALAHARI RESOURCES INC.	KLA	366862	Common Stock	330	0.065	0.07	0.07	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
KANE INVESTMENT CORP		367229	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
KANGAROO MEDIA INC	KTV	367248	Common Stock	330	0.415	0.42	0.415	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
KAO CORPORATION SPONS ADR	KCRPY	367604	Common Stock	3308000	0	0	24.07	USD								n/a	ZZ	No		NAS	0	n/a	2	Equity	09/25/2009	3.221	26.76		No
KAOCLAY RESOURCES INC		367607	Common Stock	3308011	7.25	7.25	7.25	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
KASTEN CHASE APPLIED RES	KCA	367799	Common Stock	330	0	0	0	USD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
KASTEN CHASE APPLIED-NEW		367822	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
KATANGA LG33 14% 30NV13	KAT.NT	V23469	Corporate Bonds	2606000	90.05	94.85	90.05	CAD								n/a	ZZ	No	11/30/2013	TSE	14	n/a	2	Bond		0	15.55	17.5986	No
KAWASAKI HEAVY IND-SP ADR	KWHIY	367938	Common Stock	3308000	0	0	14.3	USD								n/a	ZZ	No		NAS	0	n/a	0	Equity	03/28/2007	0.132	n/a		No
KB FINANCIAL GRP INC ADR	KB	376757	Common Stock	3158000	45.6	45.67	45.68	USD								n/a	ZZ	No		NYS	0	n/a	0	Equity	12/29/2009	0	n/a		No
KCP INCOME FUND T/*	KCP.UN	365825	Trust Units	3308001	10.02	10.05	10.03	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	04/26/2007	0.088	0		No
KELLOGG CO	K	368233	Common Stock	315	54.17	54.19	54.17	USD								n/a	US	No		NYS	0	n/a	4	Equity	11/30/2009	0.375	2.77		No
KELSO TECHNOLOGIES INC	KLS	368838	Common Stock	330	0.02	0.025	0.02	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
KEMET CORP	KEM	368895	Common Stock	315	1.53	1.55	1.54	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
KERECO ENERGY LTD *	KCO	371861	Common Stock	330	4.71	4.73	4.72	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
KETCH RESOURCES T/U *	KER.UN	372200	Trust Units	3308001	11.01	11.08	11.01	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	05/19/2006	0.13	0		No
KEYCORP	KEY	372881	Common Stock	315	7.05	7.06	7.06	USD								n/a	US	No		NYS	0	n/a	4	Equity	11/27/2009	0.01	0.57		No
KEYERA RD CV 6.75%30JN1*		V23945	Bonds (other)	2756000	111.11	130.75	130	CAD								n/a	CA	No	06/30/2011		6.75	n/a	2	Bond		0	5.19	0	No
KEYERA RD CV 6.75%30JN11	KEY.DB	V23946	Convertible Debentures	2756000	209.52	217	209.52	CAD								n/a	CA	No	06/30/2011	TSE	6.75	n/a	2	Bond		0	3.22	15.623324	No
KEYERA FACILITIES INC T/U	KEY.UN	372938	Trust Units	3308001	24.86	25	24.89	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/20/2010	0.15	7.23		No
KEYERA RD CV 8.25% 31DC13	KEY.DB.A	V23961	Convertible Debentures	2756000	130.02	131.33	130.27	CAD								n/a	CA	No	12/31/2013	TSE	8.25	n/a	2	Bond		0	6.33	0.46915	No
KEYSTONE NORTH AMER-IPS *	KNA.UN	373212	Trust Units	330	6.5	6.68	6.5	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	03/27/2008	0.083	15.38		No
KEYSTONE NORTH AMER-IPS *	KNA.UN	373236	Common Stock	330	5.25	5.28	5.27	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	06/26/2008	0.063	14.45		No
KHD HUMBOLDT WEDAG INTL	KHDH	366399	Common Stock	315	13.45	13.46	13.45	USD								n/a	CA	No		NAS	0	n/a	0	Equity		0	n/a		No
KIK ACQ CB 6.5% 30NV10	KCC.DB.U	V25233	Convertible Debentures	2606000	99.8	99.8	99.8	USD								n/a	CA	No	11/30/2010	TSE	6.5	n/a	2	Bond		0	6.51	6.732985	No
KIMBERLY CLARK CORP	KMB	373985	Common Stock	315	60.38	60.44	60.45	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/02/2009	0.6	3.97		No
KIMPEX INTERNATIONAL INC*		374070	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
KINDER MORGAN ENGY LPU	KMP	374152	Common Stock	3158002	65	65.09	65.18	USD								n/a	US	No		NYS	0	n/a	4	Equity	01/27/2010	1.05	6.44		No
KING PHARMACEUTICALS INC	KG	374379	Common Stock	315	12.32	12.34	12.35	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
KINGFISHER PLC SP/ADR	KGFHY	374513	Common Stock	3308000	0	0	7.1	USD								n/a	GB	No		NAS	0	n/a	2	Equity	10/07/2009	0.064	1.79		No
KINGSWAY FINANCIAL SVCS	KFS	374573	Common Stock	315	1.84	1.85	1.85	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	06/11/2009	0.02	4.32		No
