Description	Symbole	Titre	Sous-catégorie	Type	Acheteur	Vendeur	Clôture	Devise prix	yo	locomotive	Livre F	Franco	coucou	cheval F	CHECKBOX	Région	Non rachetable	Montant subséquent	Montant initial	Intérêt	Instrument financier	Fréquence	Échéance	Dividende	Date de dividende	Bourse	RM (%)	Rend. éché. - Marché (%)	Exclu de la facturation
IMPALA PLATNM HLD ADR	IMPUY	334150	Actions ordinaires	3308000	"0,000"	"0,000"	"27,230"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,266"	2009-09-16	NAS	n/d		Non
IMPERIAL GINSENG CNV PF-A	IGP.PR.A	334586	Actions privilégiées	310	"0,005"	"0,020"	"0,005"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non
IMPERIAL METALS CORP	III	336308	Actions ordinaires	330	"15,900"	"16,150"	"16,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
IMPERIAL METALS CORP *		336306	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
IMPERIAL TOBACCO PLC ADR	ITY	333422	Actions ordinaires	3308000	"0,000"	"0,000"	"64,610"	USD								GB	Non	n/d	n/d	"0,000"	Action	2		"1,735"	2010-01-20	NYS	"5,37"		Non
IMVESCOR EX CV7.75%31DC11	IRG.DB	V01953	Débentures convertibles	2756000	"99,500"	"101,000"	"100,000"	CAD								CA	Non	n/d	n/d	"7,750"	Obligation	2	2011-12-31	"0,000"		TSE	"7,75"	"7,745,050"	Non
IN.SYNC INDUSTRIES INC *	ISN	337445	Actions ordinaires	330	"0,090"	"0,120"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2003-05-23	V	n/d		Non
INA ACT CDN-DYN /S/N	INA27150	971032	Fonds d'investissement	3807030	"17,118"	"17,118"	"17,118"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
INBUSINESS SOLUTIONS INC	BIZ.H	337454	Actions ordinaires	330	"0,120"	"0,150"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		V	n/d		Non
INCO LIMITEE *	N	337430	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,125"	2006-08-11	TSE	n/d		Non
INCO LTD U CV7.75%15MR16*		V01406	Obligations (autres)	2756000	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"7,750"	Obligation	2	2016-03-15	"0,000"			n/d	n/d	Non
INCOME FINANCIAL PLUS T/*	INZ.UN	337510	Fiducies de redevances	3308001	"15,200"	"15,600"	"15,380"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,658"	2006-02-23	TSE	"0,00"		Non
INCOME FINANCIAL T/U	INC.UN	337503	Fiducies de redevances	3308001	"9,410"	"9,500"	"9,400"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,069"	2010-01-27	TSE	"8,83"		Non
INCOME STREAM III CAP YLD	STQ	337574	Actions ordinaires	3308005	"20,610"	"20,680"	"20,610"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,083"	2007-02-26	TSE	n/d		Non
INCOME STREAM III EQU DIV	STQ.E	337573	Actions privilégiées structurées	3108005	"10,260"	"10,990"	"10,260"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,088"	2010-01-27	TSE	"10,23"		Non
INCOME TRUSTCO SUB VTG-B		337581	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,030"			n/d		Non
IND ALL C14 8.25%TV27MR19		V08667	Obligations (autres)	2606000	"115,952"	"115,952"	"115,952"	CAD								CA	Non	n/d	n/d	"8,250"	Obligation	2	2019-03-27	"0,000"			"7,12"	"5,964,158"	Non
IND1		I~000E	Indices réf. panier	REAL/RÉE	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
IND2		I~000G	Indices réf. panier	REAL/RÉE	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
IND3		I~000H	Indices réf. panier	REAL/RÉE	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
INDEPENDENCE FED SVG BANK	IFSB	337621	Actions ordinaires	330	"1,700"	"1,890"	"1,890"	USD								US	Non	n/d	n/d	"0,000"	Action	1		"0,000"		NAS	"0,00"		Non
INDEXPLUS 2 INCM FUND T/*	IDT.UN	337939	Fiducies de redevances	3308001	"12,870"	"13,330"	"12,900"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,075"	2006-03-29	TSE	"0,00"		Non
INDEXPLUS INCOME FUND T/U	IDX.UN	337927	Fiducies de redevances	3308001	"10,390"	"10,500"	"10,390"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,080"	2010-01-27	TSE	"9,24"		Non
INDIA FUND INC	IFN	337745	Fonds à capitalisation fermée: Actions	3158015	"30,100"	"30,130"	"30,100"	USD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,670"	2008-12-29	NYS	"2,23"		Non
INDIA GLOBALIZATION CAP	IGC	337768	Actions ordinaires	330	"1,360"	"1,480"	"1,400"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		ASE	n/d		Non
"Indice, DJII"	DJII	I~0001	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, DJIN"	DJIN	I~000B	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, MCLEOD BOND UNI"	BOND	I~0009	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, MS EAFE"	EAFE	I~0008	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"INDICE, NASDAQ"	NASDAQ	I~0000	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, NASDAQ 100"	NASDAQ100	I~000C	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"INDICE, NASDAQ COMP"	NASDAQCOMP	I~000D	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, S&P"	S&P	I~0002	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, S&P 500"	S&P500	I~0006	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, S&P 60"	S&P60	I~0003	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, TSE 100"	TSE100	I~0004	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, TSE 300"	TSE300	I~0007	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, TSE 35"	TSE35	I~000A	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
"Indice, TSE 60"	TSE60	I~0005	Indices		"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Indice	0		"0,000"			n/d		Non
INDIGO BOOKS & MUSIC INC	IDG	338224	Actions ordinaires	330	"16,500"	"16,740"	"16,500"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,100"	2009-11-10	TSE	"2,42"		Non
INDIGO CVR HEWLETT		338327	Actions ordinaires	330	"7,190"	"7,190"	"7,190"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
INDIGO N.V.	INDGF	338080	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
INDL DIV GWTH FND	MFC295C	995728	Fonds de dividendes	3807650	"17,725"	"17,725"	"17,725"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
INDL EQTY FND D/N	MFC280	995753	Fonds d'actions canadiennes	3807150	"3,610"	"3,610"	"3,610"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"	2002-01-18		n/d		Non
INDL INCM FND	CMFC291	338975	Fonds de placement équilibré	3807550	"6,395"	"6,395"	"6,395"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	4		"0,250"			"0,00"		Non
INDL MTGE	MFC297C	995785	Fonds de placement hypothécaires	3807800	"1,288"	"1,288"	"1,288"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"	2000-11-02		n/d		Non
INDL MTGE SEC D/N	MFC287	995783	Fonds de placement hypothécaires	3807800	"1,288"	"1,288"	"1,288"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"	2000-11-02		n/d		Non
INDO-PAC PERPT-SC /N	AIM1623	998241	Fonds d'actions - Asie et côte pacifique	3807400	"5,668"	"5,668"	"5,668"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
INDUSTRIAL ALL IN-A-B PF	IAG.PR.A	338892	Actions privilégiées perpétuelles à taux fixe	310	"20,110"	"20,180"	"20,180"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,288"	2009-11-26	TSE	"5,70"		Non
INDUSTRIAL ALL IN-A-C PFD	IAG.PR.C	339597	Actions privilégiées	310	"27,200"	"27,400"	"27,250"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,388"	2009-11-26	TSE	"5,69"		Non
INDUSTRIAL ALL INS&FNL SV	IAG	338863	Actions ordinaires	315	"32,280"	"32,370"	"32,310"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,245"	2009-11-18	TSE	"3,03"		Non
INDUSTRIAL ALL INS-A-E PF	IAG.PR.E	338900	Actions privilégiées	310	"25,100"	"25,250"	"25,250"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,314"	2009-11-26	TSE	"4,97"		Non
INDUSTRIAL INCOME-DSC-NCI	NMFC28	338977	Fonds d'investissement	3807050	"8,180"	"8,180"	"8,180"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	4		"0,250"		WU	"0,00"		Non
INDUSTRIES AMISCO LTEE *	IAC	339229	Actions ordinaires	330	"1,600"	"1,790"	"1,600"	CAD								CA	Non	n/d	n/d	"0,000"	Action	1		"0,200"	2005-10-14	TSE	"12,50"		Non
INDYMAC BANCORP INC	IMB	337606	Actions ordinaires	315	"0,000"	"0,000"	"0,040"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,250"	2007-11-13	NYS	"2 500,00"		Non
INEX PHARMACEUTICALS COR*	IEX	339305	Actions ordinaires	330	"0,930"	"0,940"	"0,940"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
INFINEON TECH AG ADR	IFX	339423	Actions ordinaires	3158000	"0,000"	"0,000"	"5,450"	USD								DE	Non	n/d	n/d	"0,000"	Action	4		"0,000"		NYS	"0,00"		Non
INFINITY INCOME T/U		333716	Fiducies de redevances	3308001	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,003"	2009-12-28		n/d		Non
INFOSPACE INC *		339369	Actions ordinaires	330	"7,125"	"7,125"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2002-09-11		n/d		Non
INFOSYS TECH SPON ADR	INFY	339396	Actions ordinaires	3158000	"54,500"	"54,510"	"54,500"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	2		"0,216"	2009-10-13	NAS	"0,79"		Non
INFOWAVE SOFTWARE INC *	IWMSF	339535	Actions ordinaires	330	"0,090"	"0,095"	"0,095"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		XY	n/d		Non
ING CANADA INC-LVS *	IIC	339783	Actions ordinaires	315	"0,000"	"0,000"	"31,625"	USD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,320"	2009-03-12	TSE	"3,82"		Non
ING CDN S/C /LL/D/N	AGF519	976765	Fonds d'actions canadiennes	3807152	"13,218"	"13,218"	"13,218"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
ING CLARION GL R/E INCM	IGR	339780	Actions ordinaires	3308015	"6,730"	"6,750"	"6,740"	USD								US	Non	n/d	n/d	"0,000"	Action	12		"0,045"	2010-01-20	ASE	"8,01"		Non
ING GROEP NV -SP ADR-	ING	339760	Actions ordinaires	3158000	"9,710"	"9,720"	"9,740"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"2,348"	2009-11-25	NYS	n/d		Non
INGERSOLL-RAND PLC	IR	340756	Actions ordinaires	315	"35,010"	"35,040"	"35,010"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	4		"0,070"	2009-11-10	NYS	"0,80"		Non
INMET MINING CORP	IMN	342507	Actions ordinaires	315	"56,890"	"57,170"	"57,010"	CAD								CA	Non	n/d	n/d	"0,000"	Action	2		"0,100"	2009-11-26	TSE	"0,35"		Non
INNERGEX POWER INC FD T/U	IEF.UN	342516	Fiducies de redevances	3308001	"10,470"	"10,550"	"10,550"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,083"	2010-01-27	TSE	"9,48"		Non
INNOSPEC INC	IOP	342781	Actions ordinaires	330	"11,180"	"11,210"	"11,180"	USD								US	Non	n/d	n/d	"0,000"	Action	2		"0,050"	2009-03-12	NYS	"0,89"		Non
INNOVIUM MEDIA PPTY CORP	IN	342863	Actions ordinaires	330	"0,060"	"0,065"	"0,060"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non
INNVEST REAL EST INVT T/U	INN.UN	342824	Société de placement immobilier	3308001	"5,770"	"5,800"	"5,800"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,042"	2010-01-27	TSE	"8,63"		Non
INNVEST RED CV 6% 31MI13	INN.DB.B	V02159	Débentures convertibles	2756000	"98,000"	"99,800"	"98,000"	CAD								CA	Non	n/d	n/d	"6,000"	Obligation	2	2013-05-31	"0,000"		TSE	"6,12"	"6,673,250"	Non
INSTAL REC-APF EN T/U-1ST	AYIR	836111	Autres titres	330	"5,700"	"5,700"	"5,700"	CAD								CA	Non	n/d	n/d	"0,000"	Autre	4		"0,420"			"0,00"		Non
INSTAL REC-NCE ENGY TR **		836218	Autres titres	330	"5,000"	"5,000"	"5,000"	CAD								CA	Non	n/d	n/d	"0,000"	Autre	0		"0,000"			n/d		Non
INSTAL REC-PROVIGO INC	PGVIR	836375	Autres titres	330	"1,700"	"1,700"	"1,700"	CAD								CA	Non	n/d	n/d	"0,000"	Autre	0		"0,000"			n/d		Non
INSTORAGE REIT T/U-NEW *	IS.UN	342953	Fiducies de redevances	3308001	"3,990"	"4,000"	"3,990"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,021"	2008-11-26	TSE	"6,32"		Non
INT-BELL 15AP17		M59044	Coupons détachés	2636000	"72,032"	"72,032"	"72,032"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2017-04-15	"0,000"			n/d	"4,649,115"	Non
INT-BELL 15DC10		M49517	Coupons détachés	2636000	"98,882"	"98,882"	"98,882"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-12-15	"0,000"			n/d	"1,273,715"	Non
INT-BELL 15DC16		M49529	Coupons détachés	2636000	"72,678"	"72,678"	"72,678"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2016-12-15	"0,000"			n/d	"4,742,390"	Non
INT-BELL 15JN20		M49536	Coupons détachés	2636000	"57,935"	"57,935"	"57,935"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2020-06-15	"0,000"			n/d	"5,396,017"	Non
INT-BELL 15MI11		M59309	Coupons détachés	2636000	"97,845"	"97,845"	"97,845"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2011-05-15	"0,000"			n/d	"1,688,142"	Non
INT-BELL 15MI12		M59311	Coupons détachés	2636000	"94,353"	"94,353"	"94,353"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2012-05-15	"0,000"			n/d	"2,557,929"	Non
INT-BELL 15MI19		M59325	Coupons détachés	2636000	"62,688"	"62,688"	"62,688"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2019-05-15	"0,000"			n/d	"5,148,944"	Non
INT-BELL 15MI21		M59329	Coupons détachés	2636000	"53,995"	"53,995"	"53,995"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2021-05-15	"0,000"			n/d	"5,604,556"	Non
INT-BELL 15MI33		M59471	Coupons détachés	2636000	"19,254"	"19,254"	"19,254"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2033-05-15	"0,000"			n/d	"7,326,125"	Non
INT-BELL 15MY10		M59427	Coupons détachés	2636000	"99,704"	"99,704"	"99,704"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-05-15	"0,000"			n/d	"0,985098"	Non
INT-BELL 15MY12		M59424	Coupons détachés	2636000	"94,353"	"94,353"	"94,353"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2012-05-15	"0,000"			n/d	"2,557,929"	Non
INT-BELL 15NV10		M59308	Coupons détachés	2636000	"99,010"	"99,010"	"99,010"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-11-15	"0,000"			n/d	"1,241,371"	Non
INT-BELL 15NV10		M59421	Coupons détachés	2636000	"99,018"	"99,018"	"99,018"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-11-15	"0,000"			n/d	"1,231,240"	Non
INT-BELL 15NV12		M59312	Coupons détachés	2636000	"92,369"	"92,369"	"92,369"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2012-11-15	"0,000"			n/d	"2,869,827"	Non
INT-BELL 15NV19		M59439	Coupons détachés	2636000	"60,484"	"60,484"	"60,484"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2019-11-15	"0,000"			n/d	"5,261,397"	Non
INT-BELL 15NV27		M59342	Coupons détachés	2636000	"32,317"	"32,317"	"32,317"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2027-11-15	"0,000"			n/d	"6,549,538"	Non
INT-BELL 1DEC11		M58733	Coupons détachés	2636000	"96,116"	"96,116"	"96,116"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2011-12-01	"0,000"			n/d	"2,165,219"	Non
INT-BELL 1DEC12		M58735	Coupons détachés	2636000	"92,184"	"92,184"	"92,184"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2012-12-01	"0,000"			n/d	"2,897,434"	Non
INT-BELL 1DEC14		M58739	Coupons détachés	2636000	"83,488"	"83,488"	"83,488"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2014-12-01	"0,000"			n/d	"3,791,615"	Non
INT-BELL 1DEC16		M58743	Coupons détachés	2636000	"74,014"	"74,014"	"74,014"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2016-12-01	"0,000"			n/d	"4,491,310"	Non
INT-BELL 1JUN12		M58734	Coupons détachés	2636000	"94,157"	"94,157"	"94,157"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2012-06-01	"0,000"			n/d	"2,597,383"	Non
INT-BELL 1JUN13		M58736	Coupons détachés	2636000	"89,964"	"89,964"	"89,964"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2013-06-01	"0,000"			n/d	"3,209,395"	Non
INT-BELL 1JUN14		M58738	Coupons détachés	2636000	"85,495"	"85,495"	"85,495"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2014-06-01	"0,000"			n/d	"3,670,026"	Non
INT-BELL 1JUN20		M58750	Coupons détachés	2636000	"58,102"	"58,102"	"58,102"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2020-06-01	"0,000"			n/d	"5,387,231"	Non
INT-BELL 10% 1DEC20		M58751	Coupons détachés	2636000	"55,936"	"55,936"	"55,936"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2020-12-01	"0,000"			n/d	"5,500,791"	Non
INT-BNQ DE MTL- 20FV11		M30625	Coupons détachés	2632230	"98,451"	"98,451"	"98,451"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2011-02-20	"0,000"			n/d	"1,467,984"	Non
INT-CANADA GOVT 1DC10		M22133	Coupons détachés	2631112	"99,568"	"99,568"	"99,568"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-12-01	"0,000"			n/d	"0,510852"	Non
INT-CANADA GOVT 1DC11		M22135	Coupons détachés	2631112	"97,535"	"97,535"	"97,535"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2011-12-01	"0,000"			n/d	"1,358,778"	Non
INT-CANADA GOVT 1DC13		M22139	Coupons détachés	2631111	"91,310"	"91,310"	"91,310"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2013-12-01	"0,000"			n/d	"2,389,825"	Non
INT-CANADA GOVT 1DC14		M22141	Coupons détachés	2631111	"87,644"	"87,644"	"87,644"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2014-12-01	"0,000"			n/d	"2,757,026"	Non
INT-CANADA GOVT 1DC16		M22059	Coupons détachés	2631111	"80,100"	"80,100"	"80,100"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2016-12-01	"0,000"			n/d	"3,292,705"	Non
INT-CANADA GOVT 1DC18		M22063	Coupons détachés	2631111	"72,476"	"72,476"	"72,476"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2018-12-01	"0,000"			n/d	"3,704,711"	Non
INT-CANADA GOVT 1JN10		M22132	Coupons détachés	2631112	"99,906"	"99,906"	"99,906"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-06-01	"0,000"			n/d	"0,270412"	Non
INT-CANADA GOVT 1JN11		M22134	Coupons détachés	2631112	"98,644"	"98,644"	"98,644"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2011-06-01	"0,000"			n/d	"1,018,005"	Non
INT-CANADA GOVT 1JN12		M22136	Coupons détachés	2631112	"96,140"	"96,140"	"96,140"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2012-06-01	"0,000"			n/d	"1,690,694"	Non
INT-CANADA GOVT 1JN13		M22138	Coupons détachés	2631111	"92,794"	"92,794"	"92,794"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2013-06-01	"0,000"			n/d	"2,258,991"	Non
INT-CANADA GOVT 1JN14		M22140	Coupons détachés	2631111	"89,266"	"89,266"	"89,266"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2014-06-01	"0,000"			n/d	"2,645,967"	Non
INT-CANADA GOVT 1JN15		M22142	Coupons détachés: Canada	2631111	"86,154"	"86,154"	"86,154"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2015-06-01	"0,000"			n/d	"2,805,749"	Non
INT-CANADA GOVT 1JN21		M22068	Coupons détachés	2631111	"64,111"	"64,111"	"64,111"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2021-06-01	"0,000"			n/d	"3,995,232"	Non
INT-CANADA GOVT 1JN22		M22074	Coupons détachés	2631111	"60,560"	"60,560"	"60,560"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2022-06-01	"0,000"			n/d	"4,145,308"	Non
INT-CANADA GOVT 1JN26		M22162	Coupons détachés	2631111	"49,360"	"49,360"	"49,360"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2026-06-01	"0,000"			n/d	"4,413,384"	Non
INT-CANADA GOVT 15MR10		M41406	Coupons détachés	2631112	"99,951"	"99,951"	"99,951"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-03-15	"0,000"			n/d	"0,365179"	Non
INT-CANADA GOVT 15MR11		M41408	Coupons détachés	2631112	"99,028"	"99,028"	"99,028"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2011-03-15	"0,000"			n/d	"0,864867"	Non
INT-CANADA GOVT 15MR12		M41410	Coupons détachés	2631112	"96,443"	"96,443"	"96,443"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2012-03-15	"0,000"			n/d	"1,711,474"	Non
INT-CANADA GOVT 15MR13		M41412	Coupons détachés	2631111	"93,438"	"93,438"	"93,438"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2013-03-15	"0,000"			n/d	"2,189,116"	Non
INT-CANADA GOVT 15MR18		M41364	Coupons détachés	2631111	"74,980"	"74,980"	"74,980"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2018-03-15	"0,000"			n/d	"3,603,359"	Non
INT-CANADA GOVT 15SP10		M41407	Coupons détachés	2631112	"99,728"	"99,728"	"99,728"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-09-15	"0,000"			n/d	"0,427257"	Non
INT-CANADA GOVT 15SP11		M41409	Coupons détachés	2631112	"98,033"	"98,033"	"98,033"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2011-09-15	"0,000"			n/d	"1,219,940"	Non
INT-CANADA GOVT 15SP15		M41359	Coupons détachés	2631111	"84,854"	"84,854"	"84,854"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2015-09-15	"0,000"			n/d	"2,955,710"	Non
INT-CANADA GOVT 15SP16		M41361	Coupons détachés	2631111	"80,973"	"80,973"	"80,973"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2016-09-15	"0,000"			n/d	"3,230,398"	Non
INT-CANADA GOVT 15SP17		M41363	Coupons détachés	2631111	"76,779"	"76,779"	"76,779"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2017-09-15	"0,000"			n/d	"3,519,902"	Non
INT-CANADA GOVT 15SP20		M41369	Coupons détachés	2631111	"66,046"	"66,046"	"66,046"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2020-09-15	"0,000"			n/d	"3,976,294"	Non
INT-CANADA RRB UL6 1DC10		M00074	Obligations (autres)	2631112	"138,272"	"138,272"	"138,272"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-12-01	"0,000"			n/d	"0,000000"	Non
INT-CANADA RRB UL6 1JN13		M00079	Obligations (autres)	2631111	"134,053"	"134,053"	"134,053"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2013-06-01	"0,000"			n/d	"0,000000"	Non
INT-CDA RRB 1DC14		M00082	Obligations (autres)	2631111	"130,766"	"130,766"	"130,766"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2014-12-01	"0,000"			n/d	"0,000000"	Non
