"Description"	"Symbol"	"Security"	"Subcategory"	"Type"	"Bid"	"Ask"	"Close"	"Cur. Price"	"Subsequent Amount"	"Region"	"Non-redeemable"	"Maturity"	"Market"	"Interest"	"Initial Amount"	"Frequency"	"Financial Instrument"	"Dividend Date"	"Dividend"	"MY (%)"	"YTM - Market (%)"
"LAVAL BEO 5.75% 7JA11"	""	"Q42700"	"Municipal & Para-governmental Bonds"	"2601411"	"103.900"	"103.900"	"103.900"	"CAD"	"n/a"	"CA"	"No"	"01/07/2011"	""	"5.750"	"n/a"	"2"	"Bond"	""	"0.000"	"5.53"	"1.597250"
"LAVAL BEO 4.2% 11OC14"	""	"Q40513"	"Municipal & Para-governmental Bonds"	"2601411"	"103.801"	"103.801"	"103.801"	"CAD"	"n/a"	"CA"	"No"	"10/11/2014"	""	"4.200"	"n/a"	"2"	"Bond"	""	"0.000"	"4.05"	"3.320397"
"LAVAL BEO 4.35% 15MR16"	""	"Q42893"	"Municipal & Para-governmental Bonds"	"2601411"	"103.265"	"103.265"	"103.265"	"CAD"	"n/a"	"CA"	"No"	"03/15/2016"	""	"4.350"	"n/a"	"2"	"Bond"	""	"0.000"	"4.21"	"3.748614"
"LAVAL BEO 5.15% 11AG14"	""	"Q42849"	"Municipal & Para-governmental Bonds"	"2601411"	"107.903"	"107.903"	"107.903"	"CAD"	"n/a"	"CA"	"No"	"08/11/2014"	""	"5.150"	"n/a"	"2"	"Bond"	""	"0.000"	"4.77"	"3.264879"
"LAVAL UNIV BEO 4% 1DC11"	""	"H40007"	"Municipal & Para-governmental Bonds"	"2601421"	"103.633"	"103.633"	"103.633"	"CAD"	"n/a"	"CA"	"No"	"12/01/2011"	""	"4.000"	"n/a"	"2"	"Bond"	""	"0.000"	"3.86"	"1.987818"
"LAVAL UNIV BEO 4% 7MY10"	""	"H40014"	"Municipal & Para-governmental Bonds"	"2601421"	"100.853"	"100.853"	"100.853"	"CAD"	"n/a"	"CA"	"No"	"05/07/2010"	""	"4.000"	"n/a"	"2"	"Bond"	""	"0.000"	"3.97"	"0.956183"
"LAVAL UNIV BEO4.15%22MY13"	""	"H40017"	"Municipal & Para-governmental Bonds"	"2601421"	"104.265"	"104.265"	"104.265"	"CAD"	"n/a"	"CA"	"No"	"05/22/2013"	""	"4.150"	"n/a"	"2"	"Bond"	""	"0.000"	"3.98"	"2.796063"
"LAVALIN INDUSTRIES *"	""	"389876"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LAW ENT A SER-I /D/N"	"LEF810"	"974893"	"Canadian Equity Funds"	"3807040"	"4.867"	"4.867"	"4.867"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"LAW ENT A SERIII/D/N"	"LEF310"	"944262"	"Canadian Equity Funds"	"3807040"	"4.886"	"4.886"	"4.886"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"LAZARD GLOB TOT RT&INC FD"	"LGI"	"390454"	"Closed-end Funds: Stocks"	"3308015"	"15.050"	"15.130"	"15.130"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"12"	"Mutual Fund"	"08/10/2009"	"0.076"	"0.00"	""
"LB GIC 5% 17DC12A"	""	"V49873"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/17/2012"	""	"5.000"	"n/a"	"1"	"Bond"	""	"0.000"	"5.00"	"5.000000"
"LB GIC 5% 18DC12A"	""	"V49880"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/18/2012"	""	"5.000"	"n/a"	"1"	"Bond"	""	"0.000"	"5.00"	"5.000000"
"LB GIC 5% 19DC12A"	""	"V49897"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/19/2012"	""	"5.000"	"n/a"	"1"	"Bond"	""	"0.000"	"5.00"	"5.000000"
"LB GIC 4.2% 19AP10A"	""	"V51238"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"04/19/2010"	""	"4.200"	"n/a"	"1"	"Bond"	""	"0.000"	"4.20"	"4.200000"
"LB GIC 4.2% 21MR12A"	""	"V48093"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"03/21/2012"	""	"4.200"	"n/a"	"1"	"Bond"	""	"0.000"	"4.20"	"4.200000"
"LB GIC 4.3% 2DC11A"	""	"V52289"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/02/2011"	""	"4.300"	"n/a"	"1"	"Bond"	""	"0.000"	"4.30"	"4.300000"
"LB GIC 4.3% 3OC11A"	""	"V51909"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/03/2011"	""	"4.300"	"n/a"	"1"	"Bond"	""	"0.000"	"4.30"	"4.300000"
"LB GIC 4.5% 3OC13A"	""	"V51915"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/03/2013"	""	"4.500"	"n/a"	"1"	"Bond"	""	"0.000"	"4.50"	"4.500000"
"LB GIC 4.5% 6FB12A"	""	"V50611"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"02/06/2012"	""	"4.500"	"n/a"	"1"	"Bond"	""	"0.000"	"4.50"	"4.500000"
"LB GIC 4.5% 16JA12A"	""	"V50377"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"01/16/2012"	""	"4.500"	"n/a"	"1"	"Bond"	""	"0.000"	"4.50"	"4.500000"
"LB GIC 4.6% 27NV13A"	""	"V52246"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"11/27/2013"	""	"4.600"	"n/a"	"1"	"Bond"	""	"0.000"	"4.60"	"4.600000"
"LB GIC 4.8% 7SP10A"	""	"V49263"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"09/07/2010"	""	"4.800"	"n/a"	"1"	"Bond"	""	"0.000"	"4.80"	"4.800000"
"LB GIC 4.8% 8JA13A"	""	"V50181"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"01/08/2013"	""	"4.800"	"n/a"	"1"	"Bond"	""	"0.000"	"4.80"	"4.800000"
"LB GIC 4.8% 13DC10A"	""	"V49957"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/13/2010"	""	"4.800"	"n/a"	"1"	"Bond"	""	"0.000"	"4.80"	"4.800000"
"LB GIC 4.9% 12OC12A"	""	"V49492"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/12/2012"	""	"4.900"	"n/a"	"1"	"Bond"	""	"0.000"	"4.90"	"4.900000"
"LB GIC 5% 18JN10A"	""	"V48391"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"06/18/2010"	""	"5.000"	"n/a"	"1"	"Bond"	""	"0.000"	"5.00"	"5.000000"
"LB GIC 3.25% 22DC14A"	""	"V53527"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/22/2014"	""	"3.250"	"n/a"	"1"	"Bond"	""	"0.000"	"3.25"	"3.250000"
"LB GIC 4.1% 28JA10CA"	""	"V50496"	"Term Deposits (Compound Interest)"	"2202210"	"100.000"	"100.000"	"100.000"	"CAD"	"n/a"	"CA"	"No"	"01/28/2010"	""	"4.100"	"n/a"	"1"	"Bond"	""	"0.000"	"4.10"	"4.100000"
"LB GIC 4.15% 5FB10A"	""	"V50597"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"02/05/2010"	""	"4.150"	"n/a"	"1"	"Bond"	""	"0.000"	"4.15"	"4.150000"
"LB GIC 4.3% 3OC11CA"	""	"V51899"	"Term Deposits (Compound Interest)"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/03/2011"	""	"4.300"	"n/a"	"1"	"Bond"	""	"0.000"	"4.30"	"4.300000"
"LB GIC 4.4% 24JA11CA"	""	"V50447"	"Term Deposits (Compound Interest)"	"2202210"	"100.000"	"100.000"	"100.000"	"CAD"	"n/a"	"CA"	"No"	"01/24/2011"	""	"4.400"	"n/a"	"1"	"Bond"	""	"0.000"	"4.40"	"4.400000"
"LB GIC 4.5% 1OC13CA"	""	"V51895"	"Term Deposits (Compound Interest)"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/01/2013"	""	"4.500"	"n/a"	"1"	"Bond"	""	"0.000"	"4.50"	"4.500000"
"LB GIC 4.56% 4JN13A"	""	"V51481"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"06/04/2013"	""	"4.560"	"n/a"	"1"	"Bond"	""	"0.000"	"4.56"	"4.560000"
"LB GIC 4.6% 2DC13CA"	""	"V52293"	"Term Deposits (Compound Interest)"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/02/2013"	""	"4.600"	"n/a"	"1"	"Bond"	""	"0.000"	"4.60"	"4.600000"
"LB GIC 4.65% 6FB13A"	""	"V50613"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"02/06/2013"	""	"4.650"	"n/a"	"1"	"Bond"	""	"0.000"	"4.65"	"4.650000"
"LB GIC 4.65% 25FB13A"	""	"V50804"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"02/25/2013"	""	"4.650"	"n/a"	"1"	"Bond"	""	"0.000"	"4.65"	"4.650000"
"LB GIC 4.75% 10JA13A"	""	"V50327"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"01/10/2013"	""	"4.750"	"n/a"	"1"	"Bond"	""	"0.000"	"4.75"	"4.750000"
"LB GIC 4.8% 16AG10A"	""	"V49157"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"08/16/2010"	""	"4.800"	"n/a"	"1"	"Bond"	""	"0.000"	"4.80"	"4.800000"
"LB GIC 4.8% 6DC10CA"	""	"V49761"	"Term Deposits (Compound Interest)"	"2202210"	"100.000"	"100.000"	"100.000"	"CAD"	"n/a"	"CA"	"No"	"12/06/2010"	""	"4.800"	"n/a"	"1"	"Bond"	""	"0.000"	"4.80"	"4.800000"
"LB GIC 4.85% 15OC10A"	""	"V49502"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/15/2010"	""	"4.850"	"n/a"	"1"	"Bond"	""	"0.000"	"4.85"	"4.850000"
"LB GIC 4.95% 11DC12A"	""	"V49849"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/11/2012"	""	"4.950"	"n/a"	"1"	"Bond"	""	"0.000"	"4.95"	"4.950000"
"LB GIC 5.07% 11JL12A"	""	"V48922"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"07/11/2012"	""	"5.070"	"n/a"	"1"	"Bond"	""	"0.000"	"5.07"	"5.070000"
"LB GIC 4.325% 1DC11A"	""	"V52269"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/01/2011"	""	"4.325"	"n/a"	"1"	"Bond"	""	"0.000"	"4.33"	"4.325000"
"LB GIC 4.325% 21NV11A"	""	"V52187"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"11/21/2011"	""	"4.325"	"n/a"	"1"	"Bond"	""	"0.000"	"4.33"	"4.325000"
"LB GIC 4.825% 7JA13A"	""	"V50149"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"01/07/2013"	""	"4.825"	"n/a"	"1"	"Bond"	""	"0.000"	"4.83"	"4.825000"
"LB GIC 4.85% 6DC12CA"	""	"V49808"	"Term Deposits (Compound Interest)"	"2202210"	"100.000"	"100.000"	"100.000"	"CAD"	"n/a"	"CA"	"No"	"12/06/2012"	""	"4.850"	"n/a"	"1"	"Bond"	""	"0.000"	"4.85"	"4.850000"
"LB GIC 5.06% 18JN12A"	""	"V48775"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"06/18/2012"	""	"5.060"	"n/a"	"1"	"Bond"	""	"0.000"	"5.06"	"5.060000"
"LB GIC 4.35% 15MR11A"	""	"V46441"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"03/15/2011"	""	"4.350"	"n/a"	"1"	"Bond"	""	"0.000"	"4.35"	"4.350000"
"LB GIC 5.1% 14JN12A"	""	"V48751"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"06/14/2012"	""	"5.100"	"n/a"	"1"	"Bond"	""	"0.000"	"5.10"	"5.100000"
"LB RD06 6.5% F/R 1JN11"	""	"V38294"	"Bonds (other)"	"2602230"	"100.000"	"100.000"	"100.000"	"CAD"	"n/a"	"CA"	"No"	"06/01/2011"	""	"6.500"	"n/a"	"2"	"Bond"	""	"0.000"	"6.50"	"6.491413"
"LBC FX-11 4.9%-F/R 25JA16"	""	"V46119"	"Corporate Bonds"	"2602230"	"103.198"	"103.198"	"103.198"	"CAD"	"n/a"	"CA"	"No"	"01/25/2016"	""	"4.900"	"n/a"	"2"	"Bond"	""	"0.000"	"4.75"	"4.289802"
"LE GROUPE FOREX CL-A MVS"	""	"267436"	"Common Stock"	"330"	"20.000"	"20.000"	"20.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.400"	"n/a"	""
"LE GROUPE FOREX CL-B SVS"	""	"267433"	"Common Stock"	"330"	"20.000"	"20.000"	"20.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.400"	"n/a"	""
"LEADING BRANDS INC"	"LBIX"	"390257"	"Common Stock"	"330"	"0.330"	"0.340"	"0.330"	"USD"	"n/a"	"CA"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LEADIS TECHNOLOGY INC"	"LDIS"	"390258"	"Common Stock"	"330"	"0.000"	"0.000"	"0.152"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	"12/11/2009"	"0.950"	"n/a"	""
"LEARNSOFT CORP *"	"LT"	"390569"	"Common Stock"	"330"	"0.085"	"0.115"	"0.085"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LEGACY HOTELS R-E INV T/*"	"LGY.UN"	"391049"	"Real Estate Investment Trusts"	"3308001"	"12.580"	"12.600"	"12.580"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"09/12/2007"	"0.069"	"0.00"	""
"LEGACY STORAGE SYS INTL *"	""	"391061"	"Common Stock"	"330"	"0.290"	"0.300"	"0.290"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LEGGETT & PLATT INC"	"LEG"	"391052"	"Common Stock"	"315"	"20.240"	"20.260"	"20.230"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"12/11/2009"	"0.260"	"5.14"	""
"LEHMAN BROTHERS HLDGS INC"	"LEH"	"391150"	"Common Stock"	"315"	"0.000"	"0.000"	"0.073"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"08/07/2008"	"0.170"	"0.00"	""
"LEITCH TECHNOLOGY CORP *"	"LTV"	"391660"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LENNAR CORP"	"LEN"	"391987"	"Common Stock"	"315"	"14.700"	"14.710"	"14.700"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"01/22/2010"	"0.040"	"1.09"	""
"LENOVO GROUP LTD SPN ADR"	"LNVGY"	"392000"	"Common Stock"	"3308000"	"0.000"	"0.000"	"14.150"	"USD"	"n/a"	"ZZ"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	"11/17/2009"	"0.026"	"n/a"	""
"LEROUX STL CV7.25%29MY06*"	""	"V37950"	"Bonds (other)"	"2756000"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"05/29/2006"	""	"7.250"	"n/a"	"2"	"Bond"	""	"0.000"	"n/a"	"n/a"
"LES ENTERPRISES MICROTEC*"	"MTXPF"	"392481"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LES ORDINATEURS HYPOCRAT*"	""	"392440"	"Common Stock"	"330"	"0.110"	"0.000"	"0.000"	"USD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LEVEL 3 COMMUNICATIONS"	"LVLT"	"392657"	"Common Stock"	"315"	"1.460"	"1.470"	"1.470"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LEVESQUE BEAUBIEN SER E"	""	"392664"	"Common Stock"	"330"	"7.850"	"7.850"	"7.850"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LEVIS BEO 4.15% 4AP11"	""	"Q43709"	"Municipal & Para-governmental Bonds"	"2601411"	"102.828"	"102.828"	"102.828"	"CAD"	"n/a"	"CA"	"No"	"04/04/2011"	""	"4.150"	"n/a"	"2"	"Bond"	""	"0.000"	"4.04"	"1.735918"
"LEVIS BEO 4.25% 7SP15"	""	"Q43683"	"Municipal & Para-governmental Bonds"	"2601411"	"103.285"	"103.285"	"103.285"	"CAD"	"n/a"	"CA"	"No"	"09/07/2015"	""	"4.250"	"n/a"	"2"	"Bond"	""	"0.000"	"4.11"	"3.597807"
"LEVIS BEO 1.5% 8DC11"	""	"Q70807"	"Municipal & Para-governmental Bonds"	"2601411"	"99.116"	"99.116"	"99.116"	"CAD"	"n/a"	"CA"	"No"	"12/08/2011"	""	"1.500"	"n/a"	"2"	"Bond"	""	"0.000"	"1.51"	"1.983973"
"LEVIS BEO 4.05% 11MR12"	""	"Q66672"	"Municipal & Para-governmental Bonds"	"2601411"	"103.984"	"103.984"	"103.984"	"CAD"	"n/a"	"CA"	"No"	"03/11/2012"	""	"4.050"	"n/a"	"2"	"Bond"	""	"0.000"	"3.89"	"2.121105"
"LEVIS BEO 4.35% 28DC15"	""	"Q67710"	"Municipal & Para-governmental Bonds"	"2601411"	"103.503"	"103.503"	"103.503"	"CAD"	"n/a"	"CA"	"No"	"12/28/2015"	""	"4.350"	"n/a"	"2"	"Bond"	""	"0.000"	"4.20"	"3.685780"
"LEVIS BEO 3.25% 12MY14"	""	"Q70107"	"Municipal & Para-governmental Bonds"	"2601411"	"100.291"	"100.291"	"100.291"	"CAD"	"n/a"	"CA"	"No"	"05/12/2014"	""	"3.250"	"n/a"	"2"	"Bond"	""	"0.000"	"3.24"	"3.176218"
"LEVIS BEO 4.25% 28DC12"	""	"Q69109"	"Municipal & Para-governmental Bonds"	"2601411"	"104.572"	"104.572"	"104.572"	"CAD"	"n/a"	"CA"	"No"	"12/28/2012"	""	"4.250"	"n/a"	"2"	"Bond"	""	"0.000"	"4.06"	"2.614528"
"LEVIS BEO 4.65% 28DC16"	""	"Q69113"	"Municipal & Para-governmental Bonds"	"2601411"	"103.975"	"103.975"	"103.975"	"CAD"	"n/a"	"CA"	"No"	"12/28/2016"	""	"4.650"	"n/a"	"2"	"Bond"	""	"0.000"	"4.47"	"3.986790"
"LEXMARK INTL INC"	"LXK"	"393426"	"Common Stock"	"315"	"25.470"	"25.480"	"25.500"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LEXXOR ENERGY INC *"	""	"393444"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"09/16/2003"	"0.000"	"n/a"	""
"LEXXOR ENERGY INC CL-A*"	""	"393433"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"10/29/2001"	"0.000"	"n/a"	""
"LG DISPLAY CO LTD SP/ADR"	"LPL"	"377707"	"Common Stock"	"3158000"	"17.540"	"17.560"	"17.580"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	"12/29/2009"	"0.000"	"n/a"	""
"LGS GROUP INC CL A SVS"	""	"377743"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"1"	"Equity"	""	"0.040"	"n/a"	""
"LIBERATE TECHNOLOGIES *"	"LBRT"	"393958"	"Common Stock"	"330"	"0.193"	"0.200"	"0.200"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"4"	"Equity"	"03/31/2005"	"2.100"	"0.00"	""
"LIBERTY GLOBAL INC-A"	"LBTYA"	"393799"	"Common Stock"	"315"	"25.430"	"25.450"	"25.450"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIBERTY GLOBAL SR-C"	"LBTYK"	"393818"	"Common Stock"	"315"	"25.080"	"25.120"	"25.070"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIBERTY MED HLDGS INTER-A"	"LINTA"	"392804"	"Common Stock"	"315"	"10.710"	"10.720"	"10.720"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIBERTY MEDIA CORP CL-A *"	"L"	"393803"	"Common Stock"	"315"	"7.700"	"8.780"	"0.000"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIBERTY MEDIA CORP W/I-A*"	"LMDIA"	"393856"	"Common Stock"	"330"	"35.900"	"35.910"	"35.910"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIBERTY MEDIA HLDGS SER-A"	"LCAPA"	"392802"	"Common Stock"	"315"	"23.730"	"23.750"	"23.750"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIBERTY MEDIA INTL INC-A*"	""	"393809"	"Common Stock"	"315"	"44.370"	"44.320"	"44.380"	"USD"	"n/a"	"US"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIBERTY MINES INC"	"LBE"	"393816"	"Common Stock"	"330"	"0.240"	"0.260"	"0.240"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIFE & BANC SPLIT CORP-A"	"LBS"	"394086"	"Common Stock"	"3308005"	"8.900"	"9.110"	"8.890"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"01/27/2010"	"0.100"	"13.50"	""
"LIFE POINT INC"	"LFPI"	"394135"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIFE TIME FITNESS INC"	"LTM"	"394406"	"Common Stock"	"315"	"23.000"	"23.020"	"22.990"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIFECO SPLIT CORP INC"	"LSC"	"393933"	"Miscellaneous"	"3308005"	"16.200"	"17.900"	"16.200"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Other"	"01/20/2010"	"0.110"	"2.72"	""
"LIFECO SPLIT CORP-A-PFD"	"LSC.PR.A"	"393934"	"Preferred Shares"	"3108005"	"24.780"	"25.240"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"T"	"0.000"	"n/a"	"4"	"Equity"	"07/27/2005"	"0.375"	"0.00"	""
"LIFECO SPLIT CORP-C-PFD"	"LSC.PR.C"	"393948"	"Split Preferred Shares"	"3108005"	"51.410"	"53.490"	"51.410"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"01/20/2010"	"0.512"	"3.98"	""
"LIFEPOINT HOSPITALS INC"	"LPNT"	"393930"	"Common Stock"	"315"	"30.600"	"30.630"	"30.600"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIGHT MANAGEMENT GRP INC"	"LMGR"	"394914"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIMTECH LITHIUM INDS INC"	""	"394961"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"LIMTECH LITHIUM METAL TE*"	""	"394956"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"01/21/2003"	"0.000"	"n/a"	""
